Specimen name:	AWA_2_03_Rz
Specimen ID:	46NT9D
Material:	42CrMoS4
Specimen type:	Round Tensile Specimen
Gauge diameter:	5.001	mm
Gauge length:	25	mm
Parallel length:	30	mm
Original cross-section:	19.642808851968347	mm²
Cross-section after fracture:	9.275184939732934	mm²
Yield stress at 0.2% plastic strain:	1090.0613982135765	MPa
Yield stress at 1% plastic strain:	1122.0946918175598	MPa
Ultimate tensile strength:	1175.3665259378865	MPa
Uniform elongation:	5.043896798368011	%
Elongation after fracture:	14.491399342237472	%
Reduction of area:	52.78076058453577	%
Slope of linear-elastic region:	207076.24253279125	MPa
Crosshead seperation speed:	0.03007181246249116	mm/s
Strain rate:	0.0010023937487497053	s-1
Test temperature:	RT	Cel
Machine type:	INSTRON 8852TT
Standard:	DIN EN ISO 6892-1
Date:	2022-08-23 00:00:00
Heat treatment batch:	Batch 2
Time	Displacement	Force	Machine Displacement	Engineering Strain	Engineering Stress	True Strain	True Stress
s	mm	kN	mm		MPa		MPa
0	0.0009504265789959489	0.15682	0	3.8017063159837954e-05	7.98358326356597	3.801634052952565e-05	7.983886775955143
0.23	0.000567544578995949	0.152427	9.9182e-05	2.270178315983796e-05	7.759939077385349	2.2701525478193678e-05	7.760115241839617
0.430001	0.000689873578995949	0.162231	0.000694275	2.759494315983796e-05	8.259053031702404	2.7594562426407873e-05	8.259280939801368
0.640001	0.000616984578995949	0.157892	0.000354767	2.467938315983796e-05	8.038157943189377	2.467907862878744e-05	8.038356319969155
0.850001	0.000802693578995949	0.214443	0.00505829	3.210774315983796e-05	10.917125020972309	3.2107227717207086e-05	10.917475545218526
1.06	0.0013469225789959488	0.279234	0.0110092	5.387690315983795e-05	14.215584039144115	5.3875451851724685e-05	14.216349930788754
1.26	0.001819825578995949	0.356769	0.0172348	7.279302315983796e-05	18.162830106868817	7.279037387633343e-05	18.164152234181437
1.47	0.002391026578995949	0.43588	0.0235138	9.564106315983796e-05	22.190309099114497	9.563648984496018e-05	22.192431403868582
1.66	0.0028648365789959492	0.515941	0.0296936	0.00011459346315983798	26.26615184662346	0.00011458689783055376	26.269161775927447
1.88	0.003249286578995949	0.592678	0.0353165	0.00012997146315983795	30.172772359927002	0.00012996301760090118	30.17669395929821
2.1	0.003912776578995949	0.67674	0.0422554	0.00015651106315983795	34.452302880918474	0.00015649881658119085	34.45769504747067
2.31	0.004356496578995949	0.7533	0.0475006	0.00017425986315983794	38.349912462978224	0.00017424468167347845	38.35659531347621
2.53	0.004674826578995949	0.850374	0.054512	0.00018699306315983797	43.29187370342844	0.0001869755821362971	43.29996898350218
2.73	0.005100186578995949	0.940618	0.0610733	0.00020400746315983796	47.88612499814371	0.00020398665646699203	47.89589412502513
2.95	0.005284006578995949	1.03539	0.0676689	0.00021136026315983798	52.71089322320859	0.0002113379297263887	52.722034211471644
3.17	0.005516486578995949	1.13168	0.0740013	0.00022065946315983799	57.61294163826258	0.00022063512144115827	57.62565447903554
3.37	0.005954206578995949	1.21483	0.07967	0.00023816826315983797	61.84604295420131	0.00023813990560151297	61.860772718835015
3.59001	0.006240756578995949	1.32821	0.0865021	0.000249630263159838	67.61812987183367	0.00024959911070997367	67.63500940338795
3.80001	0.006718936578995949	1.44242	0.0926247	0.00026875746315983796	73.43247143880136	0.0002687213543424368	73.45220696353881
4.00001	0.007236256578995949	1.55648	0.0990067	0.00028945026315983796	79.23917662335903	0.000289408380514197	79.26211242388523
4.20001	0.007464896578995949	1.67025	0.105221	0.00029859586315983795	85.03111813525739	0.00029855129228731727	85.05650807537243
4.40001	0.007960336578995949	1.78868	0.111446	0.00031841346315983793	91.06029659402616	0.0003183627803514297	91.08929141842101
4.62001	0.008511336578995948	1.9175	0.117336	0.0003404534631598379	97.618421807727	0.00034039552203009467	97.65165633749965
4.82001	0.008925946578995949	2.03232	0.123356	0.000357037863159838	103.46381799649531	0.00035697414030921225	103.50075849698715
5.04001	0.00959621657899595	2.18815	0.130112	0.00038384866315983797	111.39700113615531	0.0003837750121083002	111.43976072612143
5.26001	0.010394616578995949	2.32998	0.135933	0.00041578466315983796	118.6174552508828	0.000415698248669159	118.66677456955917
5.46001	0.011093026578995949	2.46991	0.142071	0.000443721063159838	125.74118185508371	0.00044362264808035914	125.79697586597942
5.67001	0.01194562657899595	2.62314	0.14846	0.00047782506315983796	133.54200103297055	0.0004777109411164962	133.6058107480486
5.87001	0.01268862657899595	2.76841	0.153809	0.000507545063159838	140.93758285096715	0.0005074163057291411	141.00911502535683
6.07001	0.01362722657899595	2.92479	0.160225	0.0005450890631598379	148.8987660594638	0.0005449405560803048	148.9799291483608
6.29001	0.014654626578995949	3.11046	0.16711	0.000586185063159838	158.3510802065515	0.0005860133238064989	158.44390324450382
6.50001	0.015796426578995947	3.28724	0.173473	0.0006318570631598379	167.35081142280706	0.0006316575255341061	167.45655321503008
6.70001	0.01708642657899595	3.49147	0.180122	0.000683457063159838	177.7480006200911	0.0006832236127439965	177.86948374657743
6.90001	0.017818826578995948	3.62871	0.185143	0.0007127530631598379	184.73478143307278	0.0007124991753277453	184.86645171441137
7.10001	0.01894712657899595	3.79209	0.191502	0.000757885063159838	193.05232915403573	0.0007575980132999997	193.19864063070978
7.30001	0.02008042657899595	3.97111	0.197506	0.000803217063159838	202.16609701428047	0.00080289465696439	202.32848027299474
7.52001	0.02132742657899595	4.16152	0.204407	0.000853097063159838	211.85972084552392	0.0008527333826821613	212.04045775117913
7.74001	0.02273062657899595	4.3762	0.21133	0.000909225063159838	222.78891135070398	0.0009088119684306206	222.99147661269816
7.94001	0.02350042657899595	4.52767	0.216553	0.000940017063159838	230.5001303083136	0.0009395755238017769	230.71680436386401
8.16001	0.02497802657899595	4.74799	0.223614	0.000999121063159838	241.7164487921094	0.0009986222739167341	241.9579527874098
8.38001	0.026092826578995948	4.93584	0.229904	0.001043713063159838	251.2797450302223	0.0010431687733693067	251.5420089826178
8.59001	0.02741052657899595	5.12376	0.235661	0.001096421063159838	260.8466049134599	0.0010958204325752694	261.1326026253407
8.79001	0.02847132657899595	5.29666	0.241768	0.001138853063159838	269.64880837137696	0.0011382050619487957	269.95589874276806
8.99001	0.029826526578995947	5.51616	0.248615	0.0011930610631598379	280.82338129799814	0.0011923499313692154	281.1584207398497
9.20001	0.030901426578995948	5.67698	0.253948	0.0012360570631598379	289.01060142583054	0.0012352937735430104	289.367835021051
9.40001	0.032302726578995945	5.91246	0.261272	0.0012921090631598379	300.99870362519613	0.0012912750086266644	301.38762677814964
9.60001	0.03329192657899595	6.07254	0.266556	0.001331677063159838	309.14825093313925	0.0013307911676567223	309.55993656802286
9.80001	0.03454842657899595	6.26551	0.273209	0.001381937063159838	318.97220235751325	0.0013809830669438872	319.41300186606884
10	0.03563352657899595	6.44587	0.278854	0.001425341063159838	328.15418856728724	0.0014243262287957218	328.62192020730015
10.21	0.036949026578995944	6.6605	0.285488	0.0014779610631598377	339.080833611664	0.0014768699536537233	339.58198188100585
10.41	0.03813222657899595	6.83711	0.291157	0.0015252890631598378	348.0719102611882	0.0015241269913103329	348.6028205391027
10.61	0.03942042657899594	7.04405	0.297466	0.0015768170631598377	358.60706343401273	0.0015755751924317227	359.17252117060514
10.82	0.04065612657899594	7.24114	0.303337	0.0016262450631598377	368.6407608285811	0.0016249241585396706	369.2402610459581
11.02	0.041788626578995944	7.42276	0.309357	0.0016715450631598378	377.88689265059907	0.0016701495865624216	378.518547620442
11.22	0.042966726578995945	7.62558	0.315849	0.0017186690631598377	388.2122998532292	0.0017171938415222034	388.87950832292506
11.42	0.04426172657899594	7.8311	0.321445	0.0017704690631598378	398.6751619392391	0.0017689036302361392	399.3810039797028
11.64	0.045796526578995946	8.07351	0.32885	0.0018318610631598378	411.01606500594636	0.0018301852519392089	411.7689893317639
11.85	0.04705992657899594	8.28448	0.335426	0.0018823970631598377	421.7563823195193	0.0018806275740475692	422.5502952949665
12.05	0.048073226578995945	8.44736	0.340328	0.001922929063159838	430.048475432449	0.0019210826017662308	430.87542814442565
12.25	0.049466026578995945	8.6597	0.346401	0.0019786410631598378	440.8585383720332	0.0019766861312458025	441.73083917910077
12.45	0.05077282657899595	8.86773	0.352497	0.002030913063159838	451.44918259037024	0.0020288535472186902	452.3660366326459
12.67	0.05217432657899595	9.09612	0.360142	0.002086973063159838	463.0763384478237	0.0020847983600489283	464.04276629235096
12.88	0.05346432657899595	9.29406	0.365597	0.002138573063159838	473.1533086760486	0.0021362895708171583	474.16518159672813
13.08	0.054511026578995946	9.48126	0.371445	0.002180441063159838	482.6835139237183	0.002178067351411028	483.73597687798787
13.28	0.05573692657899595	9.67575	0.37775	0.0022294770631598377	492.5848473565135	0.0022269954669291137	493.68305397535494
13.48	0.05690772657899595	9.85431	0.38327	0.002276309063159838	501.67519697736753	0.0022737221966124634	502.81716477500964
13.7	0.058163926578995946	10.0715	0.389759	0.002326557063159838	512.7321696148749	0.0023238548197465386	513.9250702656017
13.91	0.059763226578995944	10.3174	0.396996	0.0023905290631598378	525.2507458456546	0.002387676294072668	526.506373019045
14.11	0.060871326578995945	10.5019	0.402428	0.002434853063159838	534.6434962099444	0.002431893611353744	535.9452745643897
14.31	0.06200822657899595	10.6689	0.407436	0.002480329063159838	543.1453352930685	0.002477258123940758	544.4925144537156
14.51	0.06309012657899594	10.868	0.413475	0.002523605063159838	553.2813602119307	0.0025204261190455244	554.6776238539136
14.72	0.06461062657899595	11.093	0.420586	0.002584425063159838	564.7359338269182	0.002581091179585822	566.1954515283675
14.92	0.06601292657899595	11.3101	0.427296	0.002640517063159838	575.7883246349795	0.0026370370227040986	577.3087035309463
15.13	0.06705682657899595	11.4887	0.433247	0.002682273063159838	584.8807106244763	0.00267868218847167	586.4495203997461
15.33	0.06835652657899595	11.7058	0.439522	0.002734261063159838	595.9331014325376	0.0027305297713820518	597.5625381080326
15.53	0.06964112657899595	11.9024	0.445225	0.002785645063159838	605.9418533112333	0.002781772344297257	607.6297922434717
15.73	0.07088562657899596	12.1144	0.451443	0.0028354250631598384	616.7346071173549	0.0028314128279876257	618.4833118796936
