Specimen name:	AWA_2_09_Rz
Specimen ID:	46NT9P
Material:	42CrMoS4
Specimen type:	Round Tensile Specimen
Gauge diameter:	5.014	mm
Gauge length:	25	mm
Parallel length:	30	mm
Original cross-section:	19.745063765851878	mm²
Cross-section after fracture:	9.503288128328458	mm²
Yield stress at 0.2% plastic strain:	1105.7658840600573	MPa
Yield stress at 1% plastic strain:	1137.036261165777	MPa
Ultimate tensile strength:	1191.0673107408604	MPa
Uniform elongation:	4.942097395562412	%
Elongation after fracture:	14.121919350023635	%
Reduction of area:	51.87005602502064	%
Slope of linear-elastic region:	214398.40196820133	MPa
Crosshead seperation speed:	0.02982033132604466	mm/s
Strain rate:	0.0009940110442014885	s-1
Test temperature:	RT	Cel
Machine type:	INSTRON 8852TT
Standard:	DIN EN ISO 6892-1
Date:	2022-08-23 00:00:00
Heat treatment batch:	Batch 2
Time	Displacement	Force	Machine Displacement	Engineering Strain	Engineering Stress	True Strain	True Stress
s	mm	kN	mm		MPa		MPa
0	0.001637310970842273	0.271562	0	6.549243883369092e-05	13.753412155075093	6.549029429755316e-05	13.754312899579414
0.25	0.001576993070842273	0.27555	0.000572205	6.307972283369092e-05	13.955386686395526	6.307773339153768e-05	13.95626698831974
0.450001	0.001705119770842273	0.275667	0.000473023	6.820479083369092e-05	13.961312218031555	6.820246499259018e-05	13.962264446411147
0.660001	0.001612102470842273	0.276579	0.000572205	6.448409883369092e-05	14.007500977450874	6.4482019823624e-05	14.008404238528318
0.860001	0.001644671560842273	0.272837	0.000236512	6.578686243369092e-05	13.817985256236966	6.578469857290408e-05	13.818894298132129
1.06	0.001646495440842273	0.269307	7.63e-06	6.585981763369092e-05	13.63920639576527	6.585764897116851e-05	13.640104671411164
1.26	0.001923853970842273	0.331652	0.00358582	7.695415883369092e-05	16.796704428657044	7.695119801430277e-05	16.79799700491753
1.48	0.002538040970842273	0.435638	0.0101318	0.00010152163883369092	22.063134622710848	0.0001015164858607706	22.06537450829555
1.69	0.003052110970842273	0.526975	0.0160446	0.00012208443883369094	26.688949007669326	0.0001220769871350405	26.692207313031986
1.89	0.0036553609708422728	0.629825	0.0218964	0.0001462144388336909	31.897845834727132	0.00014620375054456088	31.902509760355862
2.09	0.004564550970842273	0.741476	0.0290298	0.0001825820388336909	37.55247431929526	0.00018256537276183443	37.55933072661973
2.3	0.005145130970842273	0.838886	0.0339584	0.00020580523883369093	42.48585924806241	0.00020578406384069036	42.49460306047201
2.5	0.006039480970842274	0.961424	0.0403748	0.00024157923883369096	48.69186604819863	0.0002415500632681173	48.70362899213595
2.7	0.006884450970842273	1.08685	0.0463867	0.00027537803883369093	55.04413725316269	0.0002753401292609427	55.05929519972875
2.91	0.007613740970842273	1.2182	0.0524292	0.0003045496388336909	61.69643281207414	0.0003045032730059416	61.71522243840438
3.11	0.008399690970842272	1.35339	0.0584259	0.0003359876388336909	68.5432073580143	0.00033593120762684815	68.56623702841262
3.31	0.009186040970842272	1.4995	0.0645142	0.0003674416388336909	75.94303152331733	0.00036737414868671166	75.97093615527827
3.51	0.010099800970842272	1.64302	0.0708237	0.00040399203883369086	83.21168366351506	0.0004039104560217558	83.24530052125307
3.71001	0.010992390970842272	1.78677	0.0765915	0.0004396956388336909	90.4919842847067	0.0004395990010327632	90.5317732155461
3.93001	0.011796810970842272	1.95387	0.083931	0.0004718724388336909	98.95485895462755	0.0004717611420450143	99.00155302525692
4.15001	0.012806710970842272	2.11167	0.0897522	0.0005122684388336909	106.9467298278383	0.0005121372741494018	107.00151526216557
4.35001	0.013531110970842272	2.26286	0.0957108	0.0005412444388336909	114.60383348639802	0.0005410980188927295	114.66586217394156
4.57001	0.014652910970842273	2.43959	0.102127	0.0005861164388336909	123.55442499097683	0.0005859447396809141	123.62684227055468
4.78001	0.015490010970842273	2.61685	0.109207	0.000619600438833691	132.5318586474111	0.000619408565734135	132.6139754451885
4.98001	0.016397910970842273	2.77423	0.114929	0.0006559164388336909	140.50245838141558	0.0006557014196643496	140.5946162535645
5.18001	0.017255210970842275	2.93432	0.12088	0.0006902084388336909	148.61030760887	0.0006899703545346502	148.71287969727928
5.38001	0.018210510970842274	3.09461	0.126656	0.000728420438833691	156.7282859502321	0.0007281552694277958	156.8424500370616
5.59001	0.019158310970842272	3.26955	0.133293	0.000766332438833691	165.58822188533657	0.0007660389560575556	165.71511751125607
5.79001	0.019825710970842274	3.41639	0.13871	0.0007930284388336909	173.02501731640285	0.000792714157926199	173.16223107576445
5.99001	0.020891710970842275	3.60013	0.144768	0.000835668438833691	182.3306342634481	0.0008353194623694723	182.4830022199346
6.19001	0.021905610970842274	3.77094	0.150658	0.000876224438833691	190.98140399635764	0.0008758407782988134	191.14874656990202
6.41001	0.022879410970842274	3.95258	0.157211	0.0009151764388336909	200.18066524737156	0.0009147579202027956	200.36386587571602
6.62001	0.023827710970842273	4.14005	0.163254	0.0009531084388336909	209.67519016879618	0.0009526545193856583	209.8750333619601
6.82001	0.024834010970842275	4.32067	0.169647	0.000993360438833691	218.82279293888064	0.0009928673828474958	219.04016284450122
7.02001	0.025679710970842273	4.49652	0.175301	0.0010271884388336908	227.72881634226533	0.0010266612417789162	227.9627367496014
7.22001	0.026731710970842273	4.67709	0.181175	0.001069268438833691	236.8738868338728	0.0010686971785206002	237.1271686050481
7.43001	0.027844310970842275	4.87683	0.187843	0.001113772438833691	246.98983289353762	0.0011131526544674274	247.2649233620866
7.63001	0.028866510970842273	5.05502	0.193542	0.0011546604388336908	256.0143669296429	0.0011539943311720197	256.3099765909096
7.83001	0.030080310970842274	5.25202	0.199898	0.001203212438833691	265.99154412877164	0.0012024891588620556	266.31158846329197
8.05001	0.031239910970842274	5.46638	0.206459	0.001249596438833691	276.8479284150926	0.001248816343006089	277.1938766005386
8.25001	0.03230621097084227	5.65247	0.212158	0.0012922484388336907	286.2725624505539	0.0012914142044346902	286.6424977224616
8.47001	0.03368031097084227	5.87157	0.21888	0.001347212438833691	297.3690067364884	0.0013463057623884485	297.76962596128743
8.67001	0.03458861097084227	6.06544	0.224876	0.001383544438833691	307.1876633029609	0.00138258822310295	307.61267108620206
8.88001	0.03602741097084227	6.29259	0.23175	0.0014410964388336907	318.69180442368213	0.0014400590558869184	319.15107004812256
9.08001	0.03728211097084227	6.48356	0.236618	0.0014912844388336908	328.3635888384924	0.001490173578463691	328.8532723488068
9.29001	0.03832251097084227	6.67733	0.242905	0.001532900438833691	338.17718084801106	0.0015317267462387324	338.69557279693646
