Specimen name:	AWA_2_14_Rz
Specimen ID:	46NT9Z
Material:	42CrMoS4
Specimen type:	Round Tensile Specimen
Gauge diameter:	4.995	mm
Gauge length:	25	mm
Parallel length:	30	mm
Original cross-section:	19.59570381172042	mm²
Cross-section after fracture:	9.410626853010825	mm²
Yield stress at 0.2% plastic strain:	1106.0144753956063	MPa
Yield stress at 1% plastic strain:	1138.089092522478	MPa
Ultimate tensile strength:	1191.5417901976366	MPa
Uniform elongation:	4.960800775977732	%
Elongation after fracture:	14.109564896076632	%
Reduction of area:	51.97607116626135	%
Slope of linear-elastic region:	208149.984605333	MPa
Crosshead seperation speed:	0.030028062657001205	mm/s
Strain rate:	0.0010009354219000402	s-1
Test temperature:	RT	Cel
Machine type:	INSTRON 8852TT
Standard:	DIN EN ISO 6892-1
Date:	2022-08-23 00:00:00
Heat treatment batch:	Batch 2
Time	Displacement	Force	Machine Displacement	Engineering Strain	Engineering Stress	True Strain	True Stress
s	mm	kN	mm		MPa		MPa
0	0.0003003968702424109	0.0494465	0	1.2015874809696435e-05	2.5233337100362516	1.2015802619544551e-05	2.523364030098214
0.23	0.00027518827024241086	0.0490739	-0.000167847	1.1007530809696434e-05	2.504319338132082	1.1007470227314131e-05	2.504346904504354
0.450001	0.0006297348702424109	0.0480596	-0.000114441	2.5189394809696433e-05	2.4525579923929546	2.518907756229906e-05	2.4526197708445188
0.660001	0.0001670588702424109	0.0520308	-9.1553e-05	6.682354809696435e-06	2.6552146582701344	6.682332482883801e-06	2.6552324013565767
0.870001	0.0003417595702424109	0.0488072	-0.000366211	1.3670382809696434e-05	2.490709212026763	1.3670289370918006e-05	2.4907432609751594
1.09	0.0003188308702424109	0.0530784	0.000160217	1.2753234809696436e-05	2.7086753560876535	1.275315348795156e-05	2.708709900460493
1.31	0.0005432968702424109	0.0904793	0.0067215	2.1731874809696436e-05	4.617302898091533	2.173163867592367e-05	4.617403240740073
1.5	0.0008301658702424109	0.122642	0.0130081	3.3206634809696434e-05	6.258616744689026	3.320608348156458e-05	6.25882457228968
1.7	0.0008747848702424109	0.154353	0.0185471	3.4991394809696435e-05	7.876879620301244	3.499078262509456e-05	7.877155243305906
1.9	0.001103419870242411	0.195698	0.0251389	4.413679480969644e-05	9.986780871986376	4.413582080996629e-05	9.987221656484532
2.11	0.001320656870242411	0.248139	0.0315628	5.282627480969644e-05	12.662928690093038	5.282487955110751e-05	12.663597625443915
2.31	0.0016706468702424107	0.304783	0.0371246	6.682587480969643e-05	15.553562297553494	6.682364206047044e-05	15.554601677960436
2.51	0.002005846870242411	0.361736	0.0433044	8.023387480969645e-05	18.459964667543172	8.023065624442276e-05	18.4614457820373
2.72	0.002424026870242411	0.445056	0.0500793	9.696107480969644e-05	22.711917075099226	9.69563743884315e-05	22.714119246989814
2.93	0.002642636870242411	0.518652	0.0559769	0.00010570547480969643	26.46763826312726	0.00010569988837967471	26.470436037396954
3.14	0.0029437668702424107	0.602907	0.0624695	0.00011775067480969643	30.767305211022542	0.0001177437427432471	30.770928081973217
3.35	0.003270826870242411	0.689062	0.0689926	0.00013083307480969643	35.163932187414666	0.00013082451690946375	35.16853279278515
3.56001	0.0034649368702424107	0.77565	0.0749969	0.00013859747480969643	39.582655843985286	0.00013858787106694621	39.58814190013152
3.77001	0.003708166870242411	0.865812	0.0811996	0.00014832667480969643	44.18376641731785	0.0001483156754961021	44.190320048471094
3.98001	0.004391336870242411	0.977012	0.087532	0.00017565347480969645	49.85847966408013	0.0001756380495443354	49.86723747928185
4.19001	0.005076786870242411	1.09559	0.0944748	0.00020307147480969642	55.909704010973826	0.00020305085858885803	55.92105767702351
4.39001	0.00567904687024241	1.20363	0.0999146	0.00022716187480969642	61.42315742086767	0.00022713607745778166	61.43711042046413
4.59001	0.006413416870242411	1.31709	0.105682	0.00025653667480969643	67.21320206994726	0.0002565037749035444	67.2304447213096
4.81001	0.007186736870242411	1.45477	0.111801	0.00028746947480969644	74.23923192439177	0.0002874281633771413	74.26057343740335
5.01001	0.008035036870242412	1.58756	0.117767	0.00032140147480969646	81.0157172844418	0.0003213498364197702	81.04175585545978
5.21001	0.00895334687024241	1.73439	0.124191	0.0003581338748096964	88.50868622348952	0.00035806976018090995	88.54038418224106
5.41001	0.009862546870242411	1.87844	0.130051	0.0003945018748096964	95.85978733136817	0.0003944240794047183	95.89760419718925
5.62001	0.01086949687024241	2.04273	0.137093	0.0004347798748096964	104.2437679007079	0.00043468538542695823	104.28909099306546
5.82001	0.011755296870242411	2.20133	0.143333	0.00047021187480969647	112.33737870049652	0.0004701013598483356	112.39020106994649
6.03001	0.01260699687024241	2.34328	0.149162	0.0005042798748096964	119.58131346108921	0.0005041527684432008	119.64161591087094
6.23001	0.01364129687024241	2.51039	0.154922	0.0005456518748096964	128.1092031253558	0.0005455030609567078	128.17910615222152
6.44001	0.01489959687024241	2.69898	0.161057	0.0005959838748096964	137.7332514275761	0.000595806346952555	137.81533822445206
