Specimen name:	AWA_3_05_Rz
Specimen ID:	46NTA9
Material:	42CrMoS4
Specimen type:	Round Tensile Specimen
Gauge diameter:	5.001	mm
Gauge length:	25	mm
Parallel length:	30	mm
Original cross-section:	19.642808851968347	mm²
Cross-section after fracture:	9.9230897298497	mm²
Yield stress at 0.2% plastic strain:	1085.6115802506465	MPa
Yield stress at 1% plastic strain:	1130.9271687909604	MPa
Ultimate tensile strength:	1185.9098245852815	MPa
Uniform elongation:	5.124140519054482	%
Elongation after fracture:	13.245084783357036	%
Reduction of area:	49.48232808947109	%
Slope of linear-elastic region:	209032.26959740033	MPa
Crosshead seperation speed:	0.029868507910122206	mm/s
Strain rate:	0.0009956169303374069	s-1
Test temperature:	RT	Cel
Machine type:	INSTRON 8852TT
Standard:	DIN EN ISO 6892-1
Date:	2022-09-06 00:00:00
Heat treatment batch:	Batch 3
Time	Displacement	Force	Machine Displacement	Engineering Strain	Engineering Stress	True Strain	True Stress
s	mm	kN	mm		MPa		MPa
0	0.0005044479068242259	0.0832337	0	2.0177916272969038e-05	4.237362417323498	2.0177712701542375e-05	4.237447918467573
0.25	0.00045995850682422593	0.0829172	-0.000297546	1.8398340272969038e-05	4.221249650438415	1.839817102567604e-05	4.221327314425862
0.460001	0.000539427106824226	0.0828862	-0.000267029	2.157708427296904e-05	4.21967146474035	2.1576851490926953e-05	4.219762512947149
0.660001	0.0005147397068242259	0.0823267	-0.000511169	2.0589588272969036e-05	4.191187758351082	2.0589376310338022e-05	4.191274053181401
0.870001	0.0006224779068242259	0.106211	0.00170136	2.4899116272969036e-05	5.407118747650844	2.4898806295163737e-05	5.4072533801292435
1.09	0.000885635906824226	0.187035	0.00848389	3.542543627296904e-05	9.521805227018628	3.542480880693576e-05	9.522142541122902
1.3	0.0015966879068242258	0.297872	0.0149155	6.386751627296903e-05	15.164430008193618	6.386547682998226e-05	15.165398522673936
1.51	0.002024707906824226	0.412168	0.0219345	8.098831627296904e-05	20.98314976774301	8.098503689627405e-05	20.9848491577128
1.72	0.002505227906824226	0.53297	0.0279465	0.00010020911627296904	27.13308488702178	0.00010020409567486504	27.135803869480068
1.93	0.0030513479068242258	0.648457	0.0339203	0.00012205391627296903	33.01243752290651	0.00012204646829974851	33.016466820191894
2.12	0.0038502679068242256	0.783285	0.0399475	0.00015401071627296902	39.87642530673556	0.00015399885784013898	39.882566703559455
2.34	0.004362387906824226	0.920134	0.0464478	0.00017449551627296903	46.84330061623525	0.00017448029370124263	46.851474562160206
2.55	0.005255427906824226	1.07075	0.0530624	0.00021021711627296905	54.51104310332396	0.0002101950237511133	54.52250225761018
2.76	0.006142417906824226	1.22344	0.0592499	0.00024569671627296905	62.28437130453483	0.0002456665377778239	62.299674370039476
2.98	0.0069839979068242256	1.37494	0.064827	0.00027935991627296903	69.99711753862643	0.00027932090255725853	70.01667192752136
3.19	0.007730157906824226	1.53559	0.0709076	0.00030920631627296904	78.17568309972751	0.0003091585218520288	78.19985551472091
3.39	0.008636557906824226	1.69667	0.0770874	0.00034546231627296907	86.37613962373725	0.0003454026579062937	86.40597932500236
3.59001	0.009696487906824227	1.85763	0.0827789	0.0003878595162729691	94.57048704181899	0.00038778431821433754	94.60716710517673
3.80001	0.010655947906824228	2.03716	0.0898895	0.0004262379162729691	103.71021860225771	0.0004261471026968513	103.75442382973095
3.99001	0.011542147906824226	2.20735	0.0956573	0.00046168591627296905	112.37445808463427	0.0004615793721223213	112.42633978928075
4.20001	0.012580947906824227	2.38427	0.102493	0.0005032379162729691	121.38131659113913	0.0005031113345382316	121.44240027197493
4.40001	0.013348447906824226	2.53087	0.107704	0.000533937916272969	128.84460766650434	0.0005337954221435254	128.9134026878448
4.61001	0.014431647906824227	2.71083	0.114151	0.000577265916272969	138.0062301898517	0.0005770993623981733	138.08589648277362
4.83001	0.015591147906824226	2.89693	0.120201	0.0006236459162729691	147.480435299848	0.0006234515299731264	147.5724108710529
5.02001	0.016580047906824224	3.07875	0.126312	0.0006632019162729689	156.73674896507927	0.0006629820950672128	156.8406970773433
