Specimen name:	AWA_3_06_Rz
Specimen ID:	46NTAB
Material:	42CrMoS4
Specimen type:	Round Tensile Specimen
Gauge diameter:	5.012	mm
Gauge length:	25	mm
Parallel length:	30	mm
Original cross-section:	19.729314961879428	mm²
Cross-section after fracture:	10.09411391057077	mm²
Yield stress at 0.2% plastic strain:	1084.3977857605105	MPa
Yield stress at 1% plastic strain:	1128.8671492870556	MPa
Ultimate tensile strength:	1181.8200502679215	MPa
Uniform elongation:	5.04855508833242	%
Elongation after fracture:	13.297709591890749	%
Reduction of area:	48.8369772084109	%
Slope of linear-elastic region:	210160.10139532542	MPa
Crosshead seperation speed:	0.02995096653413265	mm/s
Strain rate:	0.000998365551137755	s-1
Test temperature:	RT	Cel
Machine type:	INSTRON 8852TT
Standard:	DIN EN ISO 6892-1
Date:	2022-09-06 00:00:00
Heat treatment batch:	Batch 3
Time	Displacement	Force	Machine Displacement	Engineering Strain	Engineering Stress	True Strain	True Stress
s	mm	kN	mm		MPa		MPa
0	0.0009959798420759829	0.16506	0	3.9839193683039316e-05	8.366230673438256	3.983840012351085e-05	8.366563977322453
0.22	0.001026464342075983	0.165885	-2.2888e-05	4.105857368303932e-05	8.408046621006331	4.105773080280784e-05	8.40839184340805
0.420001	0.0010585125420759828	0.162987	-0.000106811	4.234050168303931e-05	8.261158601549019	4.233960534920635e-05	8.26150838314869
0.630001	0.001049848942075983	0.168216	0.000221253	4.199395768303932e-05	8.526195680135041	4.199307596145002e-05	8.52655372883563
0.840001	0.0011692468420759828	0.178726	0.000869751	4.676987368303931e-05	9.058905509153798	4.6768780006575324e-05	9.059329193020167
1.05	0.002011419842075983	0.316305	0.00757599	8.045679368303932e-05	16.032234297600194	8.045355720873075e-05	16.033524199767353
1.25	0.002772359842075983	0.447833	0.0139465	0.00011089439368303932	22.698862117883646	0.00011088824535421173	22.7013792944355
1.45	0.0036717898420759827	0.581378	0.0196991	0.0001468715936830393	29.46772359422141	0.00014686080910642142	29.472051565747904
1.65	0.004530899842075983	0.719887	0.0254593	0.00018123599368303933	36.48819035992637	0.00018121957242437555	36.49480333336395
1.86	0.005460479842075983	0.877669	0.0321045	0.0002184191936830393	44.48552834681862	0.0002183953436838676	44.4952448400507
2.07	0.006444979842075983	1.0322	0.0383835	0.0002577991936830393	52.318086157294125	0.00025776596918087365	52.33157371772051
2.28	0.007327669842075983	1.18132	0.0437241	0.00029310679368303933	59.876382037720106	0.0002930638462787674	59.89393221207653
2.49	0.008445699842075983	1.35597	0.0506668	0.0003378279936830393	68.72869142288907	0.00033777094265491863	68.75190989882093
2.69	0.009532009842075983	1.51442	0.05616	0.0003812803936830393	76.75988765581222	0.00038120772478471927	76.7891546959967
2.9	0.010475799842075983	1.68607	0.0626068	0.00041903199368303933	85.46013904982455	0.0004189442242950502	85.49594958227102
3.11	0.011633779842075982	1.86124	0.0686264	0.0004653511936830393	94.33880515346068	0.0004652429513953801	94.38270582904947
3.31	0.012676979842075983	2.03991	0.0749817	0.0005070791936830393	103.39487224677956	0.0005069506724737655	103.44730163522941
3.51	0.013656379842075983	2.2108	0.0810776	0.0005462551936830394	112.0566022830322	0.0005461060506256715	112.11781378401578
3.72001	0.014879879842075982	2.39043	0.0870972	0.0005951951936830393	121.1613279335212	0.000595018135276551	121.2334425735675
3.92001	0.015897679842075983	2.56221	0.0930099	0.0006359071936830393	129.86816850715036	0.0006357050903782744	129.95075260973448
4.12001	0.016864579842075983	2.7143	0.0987015	0.0006745831936830393	137.5770017988214	0.0006743557647144575	137.6698089320722
4.34001	0.018082779842075982	2.92947	0.106094	0.0007233111936830393	148.48310778454604	0.0007230497302136597	148.59050727847944
4.53001	0.019257479842075983	3.11923	0.112236	0.0007702991936830393	158.10128258517395	0.0007700026655263674	158.22306787566959
4.74001	0.020119279842075982	3.27221	0.116806	0.0008047711936830392	165.85522641422148	0.0008044475389795305	165.9887019227614
4.94001	0.021327179842075984	3.45004	0.122726	0.0008530871936830393	174.8687172700165	0.0008527235216175444	175.0178955332953
5.15001	0.02266237984207598	3.67183	0.130096	0.0009064951936830392	186.11036455622678	0.0009060845750454139	186.2790727071916
5.36001	0.023677579842075983	3.84507	0.135902	0.0009471031936830393	194.89120668555216	0.0009466549744374819	195.07578876982478
5.56001	0.024982679842075983	4.06507	0.142204	0.0009993071936830393	206.042126037039	0.0009988082186413547	206.24802541578958
5.77001	0.026313379842075983	4.26954	0.148705	0.0010525351936830393	216.40589185430494	0.0010519816668862502	216.63366667160196
5.98001	0.027430279842075984	4.4698	0.154778	0.0010972111936830393	226.5562696239811	0.0010966096974200897	226.80484969901164
6.19001	0.028775279842075983	4.68992	0.161095	0.0011510111936830394	237.7132712951142	0.0011503492881574273	237.98688193126188
6.40001	0.029962679842075984	4.89669	0.167549	0.0011985071936830394	248.19361490560027	0.0011977895572741306	248.49107673849085
6.60001	0.03128347984207598	5.08531	0.173195	0.0012513391936830392	257.7540076695886	0.0012505569213182494	258.0765453617144
6.81001	0.03255467984207598	5.32057	0.179642	0.0013021871936830392	269.67839533609225	0.0013013400832572579	270.0295670889119
7.01001	0.033938879842075984	5.52971	0.185966	0.0013575551936830393	280.27886475959207	0.0013566345487544748	280.65935878812604
7.23001	0.03508277984207599	5.74751	0.192299	0.0014033111936830394	291.318274917564	0.0014023274727334666	291.7270851136803
7.43001	0.03640627984207598	5.96912	0.198875	0.0014562511936830392	302.5507987243049	0.0014551918881987496	302.99138868609697
