Specimen name:	AWA_3_10_Rz
Specimen ID:	46NTAJ
Material:	42CrMoS4
Specimen type:	Round Tensile Specimen
Gauge diameter:	5.005	mm
Gauge length:	25	mm
Parallel length:	30	mm
Original cross-section:	19.674243628060164	mm²
Cross-section after fracture:	10.009821052684138	mm²
Yield stress at 0.2% plastic strain:	1082.6551017869408	MPa
Yield stress at 1% plastic strain:	1127.0550004870347	MPa
Ultimate tensile strength:	1182.291956923045	MPa
Uniform elongation:	5.200818538703827	%
Elongation after fracture:	13.533600370421366	%
Reduction of area:	49.12220646486381	%
Slope of linear-elastic region:	212446.85529570933	MPa
Crosshead seperation speed:	0.02995686455964125	mm/s
Strain rate:	0.0009985621519880417	s-1
Test temperature:	RT	Cel
Machine type:	INSTRON 8852TT
Standard:	DIN EN ISO 6892-1
Date:	2022-09-06 00:00:00
Heat treatment batch:	Batch 3
Time	Displacement	Force	Machine Displacement	Engineering Strain	Engineering Stress	True Strain	True Stress
s	mm	kN	mm		MPa		MPa
0	0.0008851069374262132	0.146276	0	3.540427749704853e-05	7.434898274380191	3.5403650780401715e-05	7.4351615015818595
0.23	0.0009780591374262133	0.150268	-8.3924e-05	3.912236549704853e-05	7.637803152222939	3.912160023718665e-05	7.638101961149454
0.440001	0.0009529158374262133	0.151191	1.5258e-05	3.811663349704853e-05	7.684717281042793	3.811590707664957e-05	7.685010196594923
0.660001	0.0008418552374262132	0.147212	-0.000106812	3.367420949704853e-05	7.482473165577791	3.367364253360526e-05	7.482725131946725
0.880001	0.0007913731374262133	0.14431	-0.0002594	3.165492549704853e-05	7.334970671715151	3.1654424490478696e-05	7.335202859665287
1.09	0.0012806909374262132	0.220812	0.00520325	5.122763749704853e-05	11.223404781115418	5.122632540648593e-05	11.223979729627029
1.3	0.0018019919374262132	0.320385	0.0111542	7.207967749704853e-05	16.28448879951118	7.207707988198535e-05	16.285662580212055
1.5	0.002322376937426213	0.418439	0.0176086	9.289507749704853e-05	21.268365275461274	9.28907630164729e-05	21.270341001901773
1.7	0.002936896937426213	0.530729	0.0237579	0.00011747587749704852	26.975827382916712	0.00011746897774657588	26.97899639190973
1.9	0.003514476937426213	0.641036	0.0294418	0.00014057907749704852	32.582497813828525	0.00014056919718454487	32.58707823131375
2.11	0.0042456469374262135	0.77173	0.0362396	0.00016982587749704854	39.22539613666921	0.00016981145871524075	39.2320576239883
2.32	0.004853976937426213	0.896733	0.0421906	0.00019415907749704853	45.57903302168348	0.00019414023106272452	45.587882604688176
2.52	0.005615826937426213	1.02611	0.0480041	0.0002246330774970485	52.154991032871145	0.00022460785126503441	52.16670676901369
2.72	0.006176476937426213	1.16017	0.0540619	0.00024705907749704854	58.968975983672415	0.0002470285634288641	58.983544804479884
2.92	0.006908036937426213	1.29954	0.0599289	0.0002763214774970485	66.05285695184469	0.00027628330774879937	66.07110877487052
3.12	0.007788056937426213	1.44539	0.0655594	0.0003115222774970485	73.46610255138495	0.00031147376450727974	73.48898887897059
3.33	0.008417876937426214	1.58571	0.0715103	0.00033671507749704856	80.59827000100778	0.0003366584016974409	80.6254086537373
3.53	0.009293076937426214	1.74053	0.0776672	0.00037172307749704856	88.46744164119168	0.00037165400559048935	88.50032703085684
3.73001	0.010246696937426213	1.90833	0.0842285	0.0004098678774970485	96.9963591016158	0.0004097839046029923	97.03611479344572
3.93001	0.011112506937426212	2.05042	0.0896606	0.0004445002774970485	104.21849189036229	0.00044440151651385353	104.26481703892789
4.13001	0.011942606937426213	2.22286	0.0960159	0.0004777042774970485	112.98325069176592	0.00047759021313325634	113.03722327390689
4.34001	0.012880606937426212	2.40048	0.102554	0.0005152242774970485	122.01129788676313	0.0005150915950411926	122.07416106956332
4.54001	0.013841106937426214	2.5536	0.108902	0.0005536442774970485	129.79406213908814	0.0005534910730487228	129.86592187884455
4.74001	0.014852106937426213	2.71523	0.114334	0.0005940842774970485	138.00937160945972	0.0005939078792927221	138.09136080728013
4.96001	0.015932506937426216	2.90171	0.121048	0.0006373002774970486	147.48775377882734	0.0006370972879142056	147.58174776523802
5.16001	0.016869806937426214	3.07141	0.126907	0.0006747922774970486	156.11324420215254	0.000674564707557324	156.21858821375517
5.37001	0.017683106937426214	3.24041	0.132828	0.0007073242774970485	164.70315511282996	0.0007070742415776919	164.81965365302165
5.57001	0.01875780693742621	3.41094	0.138573	0.0007503122774970485	173.3708326725804	0.0007500309339616626	173.50091493689453
5.77001	0.019942406937426212	3.6043	0.144722	0.0007976962774970485	183.19891062340045	0.0007973782869169492	183.34504771244627
5.99001	0.021003206937426213	3.79737	0.151558	0.0008401282774970486	193.0122484904093	0.000839775567269762	193.17440353826936
6.19001	0.022116206937426212	3.97484	0.157547	0.0008846482774970485	202.03267150412483	0.0008842572068326832	202.2113993589691
6.40001	0.023368606937426213	4.19002	0.164299	0.0009347442774970485	212.96981369205125	0.0009343076761173786	213.1688860066795
6.60001	0.024451506937426214	4.35876	0.17025	0.0009780602774970486	221.5465093551738	0.0009775822881867794	221.76319519559226
6.80001	0.025314306937426215	4.53174	0.175713	0.0010125722774970486	230.33871520919146	0.0010120599719901182	230.57194980664656
7.02001	0.02666140693742621	4.74727	0.182075	0.0010664562774970485	241.2936471534418	0.0010658880169820005	241.55097627816878
7.22001	0.027885706937426213	4.9502	0.188507	0.0011154282774970485	251.60814787003216	0.0011148066495871697	251.88879871301503
7.44001	0.028869906937426214	5.13572	0.194374	0.0011547962774970486	261.03773527919714	0.0011541300131596096	261.3391806841838
7.64001	0.030089206937426213	5.34385	0.201202	0.0012035682774970485	271.6165409468852	0.0012028445698273509	271.94344999921236
7.86001	0.031423006937426216	5.56266	0.207466	0.0012569202774970487	282.73818832182803	0.0012561310144962483	283.09356768395253
8.08001	0.032472206937426216	5.76954	0.214188	0.0012988882774970486	293.2534591455023	0.0012980454518637062	293.6343626259219
8.29001	0.03372950693742622	5.97027	0.220284	0.0013491802774970487	303.4561385366282	0.001348270951590876	303.86555557382724
8.49001	0.03497050693742622	6.15931	0.225822	0.0013988202774970488	313.06464006653624	0.001397842839812941	313.5025612332286
8.69001	0.03606440693742621	6.35143	0.231995	0.0014425762774970484	322.8296914520945	0.0014415367639371126	323.29539790665496
8.89001	0.03699720693742622	6.53997	0.237404	0.0014798882774970487	332.41277904439704	0.0014787943219951364	332.90471281939506
9.10001	0.038546506937426214	6.77437	0.245659	0.0015418602774970485	344.326832993881	0.001540672831366681	344.8577368601506
9.30001	0.039438206937426216	6.95417	0.250778	0.0015775282774970487	353.46568495683846	0.0015762852868274498	354.0232870699827
9.50001	0.04080090693742622	7.1626	0.256874	0.0016320362774970487	364.05973898708993	0.0016307059535195295	364.653897688293
9.70001	0.041868106937426215	7.35432	0.26284	0.0016747242774970486	373.80445922256376	0.001673323490530778	374.43047862546047
9.92001	0.04340780693742621	7.61743	0.270485	0.0017363122774970486	387.1777814693586	0.0017348066299322843	387.85004300489794
10.14	0.044617806937426216	7.80732	0.27578	0.0017847122774970487	396.82948669319615	0.0017831215708947858	397.5377131501703
10.35	0.04584860693742622	8.0066	0.282097	0.0018339442774970489	406.958465665266	0.0018322646549331655	407.7048048145518
10.55	0.046982106937426216	8.21966	0.288368	0.0018792842774970487	417.7878527577449	0.0018775206320476561	418.5729949007618
10.75	0.04816000693742622	8.41458	0.293732	0.0019264002774970488	427.6952221938943	0.0019245471480135539	428.51913438861277
10.95	0.04952190693742622	8.64187	0.300751	0.0019808762774970487	439.24788995062727	0.001978916929141504	440.11798567577114
11.15	0.050592206937426214	8.82429	0.306038	0.0020236882774970484	448.5199109466377	0.002021643378735218	449.42757543264446
11.36	0.05193640693742622	9.04537	0.3125	0.002077456277497049	459.7569375983098	0.0020753013492013127	460.7120625344462
11.56	0.05311590693742622	9.24921	0.318497	0.002124636277497049	470.1176916813422	0.0021223824296812913	471.1165207837816
11.76	0.05423920693742622	9.45383	0.324265	0.0021695682774970485	480.51809150703934	0.0021672181627841575	481.5606083151365
11.97	0.05564940693742622	9.64916	0.32975	0.002225976277497049	490.4463003720253	0.002223502462724822	491.5380222020396
12.17	0.05676300693742622	9.86004	0.336182	0.0022705202774970486	501.16488269654394	0.002267946541408899	502.3027877250759
12.38	0.05825860693742622	10.0845	0.342178	0.0023303442774970486	512.5737075664296	0.002327633236227403	513.7681807726525
12.58	0.059400806937426213	10.3023	0.348701	0.0023760322774970485	523.6440187874091	0.0023732139761723278	524.8882138779662
12.78	0.06048780693742622	10.4904	0.354584	0.0024195122774970487	533.2047421146186	0.0024165899704226075	534.4948375345846
12.98	0.061835106937426214	10.7025	0.360596	0.0024734042774970486	543.985334446895	0.002470350447670965	545.3308301000116
13.19	0.0631531069374262	10.9188	0.366959	0.002526124277497048	554.9794038550577	0.002522938988726784	556.3813508006468
13.39	0.06430200693742621	11.1089	0.372902	0.002572080277497049	564.6417829326897	0.0025687781400499194	566.0940869264217
13.59	0.06547750693742621	11.3107	0.378738	0.0026191002774970484	574.8988481502915	0.0026156764113614986	576.4045658830147
