Specimen name:	AWA_3_14_Rz
Specimen ID:	46NTAR
Material:	42CrMoS4
Specimen type:	Round Tensile Specimen
Gauge diameter:	5.008	mm
Gauge length:	25	mm
Parallel length:	30	mm
Original cross-section:	19.69783620349046	mm²
Cross-section after fracture:	10.12793001389401	mm²
Yield stress at 0.2% plastic strain:	1090.1475559439107	MPa
Yield stress at 1% plastic strain:	1134.938412609495	MPa
Ultimate tensile strength:	1187.7243651693223	MPa
Uniform elongation:	4.902860932870663	%
Elongation after fracture:	13.21183296834719	%
Reduction of area:	48.58354029718585	%
Slope of linear-elastic region:	215228.21414192926	MPa
Crosshead seperation speed:	0.029734720660579972	mm/s
Strain rate:	0.0009911573553526658	s-1
Test temperature:	RT	Cel
Machine type:	INSTRON 8852TT
Standard:	DIN EN ISO 6892-1
Date:	2022-09-06 00:00:00
Heat treatment batch:	Batch 3
Time	Displacement	Force	Machine Displacement	Engineering Strain	Engineering Stress	True Strain	True Stress
s	mm	kN	mm		MPa		MPa
0	0.0010179387354554913	0.16843	0	4.0717549418219657e-05	8.550685377826127	4.071672048123167e-05	8.551033540780558
0.24	0.0008415447354554914	0.168252	-0.000160217	3.366178941821966e-05	8.541648852282858	3.366122287300715e-05	8.541936379467808
0.450001	0.0008259767354554914	0.168833	0.000450134	3.3039069418219653e-05	8.571144477792071	3.30385236402842e-05	8.571427660429467
0.650001	0.0008267577354554913	0.167622	9.1553e-05	3.307030941821965e-05	8.509665643899371	3.306976260761011e-05	8.50994706117526
0.860001	0.0008377667354554913	0.166413	0.00025177	3.351066941821965e-05	8.44828834400154	3.3510107948318445e-05	8.448571451799387
1.07	0.0010816440354554913	0.221174	0.00518036	4.326576141821965e-05	11.228339890490506	4.3264825482161147e-05	11.22882569316533
1.27	0.0015233457354554914	0.301718	0.0111694	6.093382941821965e-05	15.317316931822972	6.0931973027813186e-05	15.318250274600041
1.48	0.0018763297354554914	0.376692	0.0169373	7.505318941821965e-05	19.123521797447484	7.5050373068546e-05	19.124957078751294
1.68	0.0021473087354554913	0.458886	0.0228043	8.589234941821966e-05	23.296264384546223	8.588866088161399e-05	23.29826535542688
1.89	0.0024926687354554916	0.538388	0.0299683	9.970674941821967e-05	27.332342214552355	9.970177903061631e-05	27.335067433548552
2.08	0.002699998735455491	0.615282	0.0354385	0.00010799994941821964	31.236019715250347	0.00010799411784356822	31.239393203799622
2.3	0.003189258735455491	0.706662	0.0414963	0.00012757034941821965	35.87510794077876	0.00012756221301307016	35.87968454083418
2.51	0.0036392987354554917	0.820792	0.0486145	0.00014557194941821965	41.66914535793304	0.00014556135485005082	41.67521121665338
2.71	0.004146458735455491	0.92102	0.0546265	0.00016585834941821966	46.75741997675841	0.0001658445964428201	46.76517508525881
2.92	0.004754198735455491	1.03214	0.0609283	0.00019016794941821964	52.39864873163605	0.00019014986978586686	52.40861327521763
3.13	0.005310938735455491	1.14692	0.0670624	0.00021243754941821963	58.22568469712249	0.00021241498775716988	58.23805401889274
3.34	0.005896008735455491	1.26977	0.0727692	0.00023584034941821964	64.46241033190216	0.00023581254345481193	64.47761316927918
3.53	0.006656228735455491	1.39143	0.0790329	0.00026624914941821964	70.63872323973524	0.00026621371140361224	70.65753073971382
3.75001	0.007267818735455491	1.53893	0.0855331	0.00029071274941821964	78.12685536126557	0.00029067050065490987	78.14956783419105
3.96001	0.007895548735455492	1.66506	0.0912476	0.0003158219494182197	84.53009674762912	0.00031577208816419136	84.55679320756846
4.16001	0.00865961873545549	1.80661	0.0970078	0.00034638474941821963	91.71616523442654	0.0003463247720707271	91.74793431533887
4.37001	0.009489998735455491	1.96686	0.103897	0.00037959994941821966	99.85157657324169	0.0003795279195852461	99.88948022665822
4.56001	0.010126528735455491	2.09564	0.109016	0.0004050611494182196	106.38935050280558	0.00040497913429747903	106.4324446954061
4.77001	0.010860708735455492	2.25464	0.115242	0.00043442834941821967	114.46130309482814	0.00043433401274350924	114.51102832980388
4.97001	0.011833738735455492	2.40416	0.121178	0.00047334954941821966	122.05198455117534	0.0004732375548605996	122.10975780306823
5.17001	0.01273913873545549	2.56771	0.127014	0.0005095655494182196	130.35492698152305	0.0005094357649809483	130.42135136150978
5.37001	0.013465338735455492	2.72343	0.13308	0.0005386135494182196	138.2603638219617	0.0005384685492042183	138.33483272726372
5.58001	0.014292138735455491	2.89038	0.139473	0.0005716855494182196	146.73591404358535	0.0005715221994880795	146.81980084522473
5.78001	0.01531983873545549	3.0626	0.145363	0.0006127935494182196	155.47900634168676	0.0006126058681204742	155.5742828738429
5.99001	0.016434038735455493	3.23968	0.151863	0.0006573615494182198	164.46882624731785	0.0006571455819556058	164.5769417297708
6.20001	0.017247938735455492	3.41524	0.158463	0.0006899175494182196	173.38148031684915	0.0006896796657128049	173.50109924286383
6.41001	0.018231138735455493	3.60156	0.164238	0.0007292455494182197	182.8403872787714	0.0007289797790824791	182.97372281744833
6.62001	0.019170038735455492	3.78052	0.169861	0.0007668015494182197	191.92564913957864	0.0007665077073129148	192.07281802471198
6.83001	0.020444638735455493	3.97951	0.17688	0.0008177855494182197	202.02777395899096	0.0008174513450084428	202.19298935311576
7.03001	0.021292938735455492	4.14976	0.182968	0.0008517175494182197	210.67085527214715	0.0008513550438465712	210.8502873367334
7.23001	0.02250213873545549	4.34444	0.189041	0.0009000855494182196	220.55417433261852	0.0008996807153253137	220.75269195779916
