Specimen name:	AWA_4_02_Rz
Specimen ID:	46NTAV
Material:	42CrMoS4
Specimen type:	Round Tensile Specimen
Gauge diameter:	5.004	mm
Gauge length:	25	mm
Parallel length:	30	mm
Original cross-section:	19.666382577842715	mm²
Cross-section after fracture:	13.663761129582781	mm²
Yield stress at 0.2% plastic strain:	1085.8016537577498	MPa
Yield stress at 1% plastic strain:	1154.9496031280007	MPa
Ultimate tensile strength:	1203.7902703404502	MPa
Uniform elongation:	5.085031405728753	%
Elongation after fracture:	10.63843464180778	%
Reduction of area:	30.522244873964947	%
Slope of linear-elastic region:	203052.3321876089	MPa
Crosshead seperation speed:	0.029900807648897538	mm/s
Strain rate:	0.0009966935882965845	s-1
Test temperature:	RT	Cel
Machine type:	INSTRON 8852TT
Standard:	DIN EN ISO 6892-1
Date:	2022-09-13 00:00:00
Heat treatment batch:	Batch 4
Time	Displacement	Force	Machine Displacement	Engineering Strain	Engineering Stress	True Strain	True Stress
s	mm	kN	mm		MPa		MPa
0	0.0008009619332469891	0.132317	0	3.203847732987956e-05	6.728080239274709	3.203796410874585e-05	6.728295796720928
0.24	0.0007859788332469891	0.142753	9.1553e-05	3.143915332987956e-05	7.258731972438784	3.143865912999236e-05	7.258960180826246
0.430001	0.0008851199332469891	0.14801	0.000549317	3.5404797329879565e-05	7.526040918514248	3.540417059484136e-05	7.526307376467664
0.640001	0.0007911904932469891	0.137402	0.000457764	3.1647619729879567e-05	6.986643296302241	3.1647118954605806e-05	6.9868644069324715
0.850001	0.000987777933246989	0.153571	0.000984192	3.951111732987956e-05	7.808807715000013	3.951033678627934e-05	7.809116249717847
1.04	0.0016060029332469893	0.259909	0.00737	6.424011732987957e-05	13.21590277069198	6.423805402188824e-05	13.216751761836589
1.25	0.0022138119332469892	0.361299	0.0135269	8.855247732987956e-05	18.371400971679478	8.854855679079947e-05	18.373027804747544
1.45	0.002577341933246989	0.466607	0.0199509	0.00010309367732987957	23.72612238946813	0.00010308836354191355	23.72856840267404
1.66	0.003202151933246989	0.569858	0.02565	0.00012808607732987955	28.97624907602657	0.0001280778750086282	28.97996053010645
1.86	0.003792171933246989	0.67574	0.0318146	0.00015168687732987956	34.36015735610309	0.00015167537403878894	34.365369341077
2.06	0.004239861933246989	0.793317	0.0379944	0.00016959447732987958	40.338735243246866	0.00016958009781229078	40.345576469966595
2.26	0.004913591933246989	0.903406	0.0438766	0.00019654367732987958	45.93656186765275	0.0001965243651517749	45.94559040844611
2.46	0.00527133193324699	1.0268	0.0505219	0.0002108532773298796	52.210923688469904	0.0002108310509019558	52.22193253284204
2.66	0.005777511933246989	1.14568	0.0560074	0.00023110047732987957	58.25575676997098	0.00023107377772801883	58.269219703167735
2.87	0.006320381933246989	1.27702	0.062294	0.0002528152773298796	64.93415832552574	0.00025278332493281787	64.95057467277098
3.08	0.007399851933246989	1.42293	0.0683823	0.0002959940773298796	72.35341804054781	0.0002959502797253759	72.37483422376239
3.29	0.007906491933246988	1.55684	0.0743637	0.0003162596773298795	79.16249944990015	0.0003162096777797085	79.1875353564328
3.48	0.00884800193324699	1.71392	0.0804596	0.00035392007732987956	87.14973347111642	0.0003538574623927125	87.1805775115258
3.68001	0.00984370193324699	1.87085	0.0863571	0.0003937480773298796	95.12934026351179	0.0003936705788983184	95.16679725833822
3.88001	0.01080626193324699	2.02606	0.092453	0.0004322504773298796	103.02148816542787	0.0004321570840043041	103.06601925286262
4.08001	0.01161846193324699	2.16829	0.0981369	0.0004647384773298796	110.25362653337788	0.0004646305198505193	110.30486563589311
4.29001	0.01262076193324699	2.34009	0.104546	0.0005048304773298796	118.9893459428823	0.0005047030932941927	119.0494153911918
4.50001	0.01366696193324699	2.5248	0.111076	0.0005466784773298796	128.381515512903	0.0005465291030883309	128.4516989243209
4.71001	0.01482296193324699	2.67347	0.117516	0.0005929184773298796	135.94111623822909	0.0005927427706192557	136.02171823787558
4.92001	0.01594886193324699	2.84947	0.123993	0.0006379544773298795	144.8903980547179	0.0006377510708770399	144.982831532879
5.11001	0.01707386193324699	3.04226	0.130508	0.0006829544773298796	154.69342101722287	0.0006827213700492612	154.79906958172006
5.32001	0.01815086193324699	3.20462	0.136185	0.0007260344773298796	162.94913349293378	0.0007257710417998884	163.06744018190068
5.53001	0.01937246193324699	3.41813	0.143402	0.0007748984773298796	173.80573099656178	0.0007745983985152423	173.94041279286222
5.74001	0.020479361933246988	3.582	0.148697	0.0008191744773298795	182.1382242424028	0.0008188391370399744	182.28742722704834
5.95001	0.021862161933246988	3.78211	0.155327	0.0008744864773298796	192.31345597136627	0.0008741043367985352	192.48163148802178
6.14001	0.02280636193324699	3.93404	0.160622	0.0009122544773298797	200.03882180306596	0.0009118386261030736	200.2213081138956
6.36001	0.024104961933246988	4.13739	0.166954	0.0009641984773298795	210.3788016745603	0.0009637339365603813	210.5816485947974
6.57001	0.02547726193324699	4.35447	0.173973	0.0010190904773298797	221.416927224125	0.001018571557150613	221.64257110617876
6.78001	0.026814461933246988	4.55076	0.180069	0.0010725784773298794	231.39791885911697	0.0010720036760110616	231.64611128658416
7.00001	0.02803916193324699	4.76236	0.186241	0.0011215664773298797	242.15739631575923	0.001120937991530167	242.42899193370445
7.20001	0.02945216193324699	4.94844	0.191475	0.0011780864773298797	251.6192279090105	0.0011773930779919893	251.9156571188463
7.41001	0.03061426193324699	5.16012	0.198471	0.0012245704773298795	262.38277322102385	0.001223821302452212	262.70407941887026
7.62001	0.03205096193324699	5.37551	0.204819	0.0012820384773298795	273.33496532587344	0.001281217367722243	273.68539126862083
7.83001	0.033296461933246986	5.57873	0.211227	0.0013318584773298794	283.6683349323897	0.0013309723405466375	284.04614100901944
8.04001	0.034434461933246986	5.7553	0.216492	0.0013773784773298795	292.6466002183978	0.0013764307617372023	293.04968534700237
8.24001	0.03605056193324699	5.99038	0.222961	0.0014420224773298795	304.599993226467	0.0014409837613653196	305.03923326329414
8.45001	0.03716626193324699	6.19397	0.229225	0.0014866504773298798	314.9521766640747	0.0014855465065193815	315.4204004678485
8.65001	0.03851126193324699	6.40128	0.235138	0.0015404504773298797	325.49351537644003	0.0015392652005773897	325.9949220175695
8.86001	0.03967146193324699	6.6041	0.241089	0.0015868584773298796	335.80654570610056	0.0015856007477998168	336.3394231698972
9.07001	0.04107116193324699	6.83621	0.247803	0.0016428464773298795	347.6089195835166	0.0016414984812210538	348.17998767254284
9.26001	0.04245946193324699	7.02477	0.254059	0.0016983784773298796	357.19685469327305	0.0016969378635114565	357.80351014345405
9.47001	0.04365336193324699	7.22936	0.259514	0.0017461344773298795	367.59988632301986	0.0017446117568489668	368.24176515839105
9.68001	0.04502416193324699	7.44006	0.266083	0.0018009664773298794	378.31360040673684	0.001799346681710546	378.99493051898736
9.89001	0.046282561933246986	7.64449	0.271896	0.0018513024773298794	388.7084963257414	0.0018495909289688581	389.42811332794844
10.09	0.04755656193324699	7.84993	0.27829	0.0019022624773298797	399.1547489188065	0.0019004554673056214	399.9140460203228
