Specimen name:	AWA_4_05_Rz
Specimen ID:	46NTB1
Material:	42CrMoS4
Specimen type:	Round Tensile Specimen
Gauge diameter:	5.005	mm
Gauge length:	25	mm
Parallel length:	30	mm
Original cross-section:	19.674243628060164	mm²
Cross-section after fracture:	12.86977306647226	mm²
Yield stress at 0.2% plastic strain:	1071.9857286864112	MPa
Yield stress at 1% plastic strain:	1141.0413345153975	MPa
Ultimate tensile strength:	1193.6774009703333	MPa
Uniform elongation:	4.91729757313988	%
Elongation after fracture:	11.126591655183184	%
Reduction of area:	34.58567805820554	%
Slope of linear-elastic region:	218279.67662951836	MPa
Crosshead seperation speed:	0.029964512255798072	mm/s
Strain rate:	0.000998817075193269	s-1
Test temperature:	RT	Cel
Machine type:	INSTRON 8852TT
Standard:	DIN EN ISO 6892-1
Date:	2022-09-13 00:00:00
Heat treatment batch:	Batch 4
Time	Displacement	Force	Machine Displacement	Engineering Strain	Engineering Stress	True Strain	True Stress
s	mm	kN	mm		MPa		MPa
0	0.001087807293580611	0.179775	0	4.351229174322444e-05	9.137581266077135	4.3511345110957604e-05	9.137978863179011
0.23	0.001158873693580611	0.174457	-0.000236511	4.6354947743224446e-05	8.867278625704456	4.635387338579886e-05	8.867689667941775
0.430001	0.001163563893580611	0.173188	-6.1035e-05	4.654255574322444e-05	8.80277805206156	4.6541472672070226e-05	8.803187755849743
0.630001	0.0010653353935806112	0.175135	4.5776e-05	4.261341574322445e-05	8.901739925097589	4.261250781737925e-05	8.902119258641855
0.840001	0.0010812284335806111	0.168598	-0.00012207	4.3249137343224445e-05	8.569478104842569	4.324820212623966e-05	8.569848727378085
1.04	0.0018138372935806112	0.24258	0.0040741	7.255349174322445e-05	12.32982596871084	7.255085986589535e-05	12.330720540637454
1.24	0.002553677293580611	0.347105	0.0101395	0.00010214709174322444	17.64260962515202	0.00010214187508434205	17.644411766415992
1.45	0.003235607293580611	0.44359	0.0156708	0.00012942429174322444	22.546737164895877	0.0001294159171420489	22.54965526038456
1.64	0.003907767293580611	0.546491	0.0215302	0.00015631069174322444	27.77697635199421	0.00015629847649998883	27.78131819038233
1.86	0.004774757293580611	0.66238	0.0278625	0.00019099029174322445	33.66736798233443	0.000190972055419354	33.67379812276761
2.06	0.0052253172935806105	0.775219	0.0341034	0.00020901269174322443	39.40273459328077	0.00020899085163364784	39.41097026490015
2.27	0.005960207293580611	0.89072	0.0404129	0.00023840829174322443	45.27340500803908	0.00023837987700259478	45.28419856318845
2.47	0.006620707293580611	1.00599	0.0467911	0.00026482829174322446	51.13233418362362	0.00026479323092111007	51.14587547233831
2.67	0.007072897293580611	1.11336	0.0526199	0.00028291589174322447	56.5897231450404	0.000282875878589056	56.60573327702748
2.88	0.007682067293580611	1.23084	0.0584488	0.0003072826917432244	62.56098192484149	0.00030723549008611405	62.580205831765454
3.08	0.008365047293580612	1.36987	0.0646973	0.0003346018917432245	69.627581415442	0.0003345459250142244	69.6508789359011
3.29	0.00897375729358061	1.50199	0.0705414	0.0003589502917432244	76.34296028833373	0.00035888588449938793	76.37036361620176
3.48	0.009480337293580611	1.63041	0.0767899	0.00037921349174322447	82.87027602294435	0.00037914160847930356	82.90170154967674
3.71001	0.010445687293580612	1.8136	0.0842438	0.00041782749174322444	92.18143448286743	0.0004177402261439422	92.2199504204227
3.90001	0.011045087293580612	1.92666	0.0895462	0.0004418034917432245	97.92803405423543	0.0004417059253163516	97.97129900162014
4.11001	0.011749107293580611	2.08466	0.095932	0.00046996429174322443	105.95883833759065	0.00046985389311300613	106.00863520800391
4.32001	0.012604907293580611	2.24477	0.101776	0.0005041962917432245	114.09688943764132	0.0005040692275012572	114.1544166661952
4.51001	0.013221207293580612	2.38387	0.10775	0.0005288482917432245	121.1670468795066	0.0005287085007686233	121.23112586526439
4.74001	0.014083907293580611	2.53499	0.113716	0.0005633562917432244	128.8481553814094	0.0005631976661599386	128.92074280042306
4.94001	0.01503300729358061	2.72534	0.121422	0.0006013202917432244	138.52324142784403	0.0006011395711402516	138.60653826379263
5.14001	0.01600120729358061	2.89347	0.127663	0.0006400482917432245	147.0689320870878	0.000639843548194544	147.16306330583865
5.35001	0.01675500729358061	3.05492	0.132706	0.0006702002917432244	155.27509253992136	0.0006699758078214732	155.37915795224205
5.54001	0.017517007293580612	3.20738	0.139099	0.0007006802917432245	163.02431039460706	0.0007004349299144619	163.1385383159756
5.76001	0.01864420729358061	3.38747	0.145493	0.0007457682917432245	172.17790244137566	0.0007454903447516309	172.30630726155533
5.97001	0.01950950729358061	3.55957	0.151276	0.0007803802917432244	180.92537976520754	0.0007800759533661614	181.06657036585247
6.17001	0.02045290729358061	3.72773	0.15728	0.0008181162917432244	189.47259526070766	0.0008177818170236369	189.62760587772934
6.37001	0.02138770729358061	3.91177	0.16378	0.0008555082917432244	198.82695741456016	0.0008551425531046634	198.99705552525037
6.57001	0.02242220729358061	4.09846	0.169838	0.0008968882917432244	208.31601343772212	0.0008964863277659161	208.50284963115706
6.77001	0.02364550729358061	4.28218	0.175583	0.0009458202917432244	217.65411067150708	0.0009453732855671715	217.85997234596152
6.98001	0.02454210729358061	4.47231	0.182007	0.0009816842917432244	227.31801458539528	0.0009812027548378832	227.541169109544
7.18001	0.025627407293580613	4.66206	0.187981	0.0010250962917432245	236.9626039067032	0.0010245712393285133	237.20551339324982
7.40001	0.02666840729358061	4.84757	0.193993	0.0010667362917432244	246.39168303711602	0.0010661677328840712	246.6545179873954
7.60001	0.02787920729358061	5.06126	0.200699	0.0011151682917432243	257.25309169097795	0.001114546953471987	257.53997218178466
7.81001	0.028859307293580612	5.24115	0.20668	0.0011543722917432245	266.39651816270435	0.0011537065163685102	266.7040389218883
8.01001	0.030060307293580613	5.43035	0.213097	0.0012024122917432246	276.01315215264617	0.0012016899730420572	276.3450337594773
8.21001	0.03110390729358061	5.62919	0.21888	0.0012441562917432244	286.11976685962316	0.001243382970659054	286.4757445677536
8.42001	0.03213600729358061	5.82033	0.224663	0.0012854402917432245	295.8350069274745	0.0012846148206915574	296.21528516508727
8.63001	0.03328070729358062	6.03536	0.231964	0.0013312282917432247	306.76452493411927	0.0013303429929636449	307.17289854861474
8.84001	0.03443870729358062	6.22968	0.237938	0.0013775482917432248	316.64139764514204	0.0013766003425592492	317.0775864615633
9.06001	0.03567300729358062	6.41706	0.243805	0.0014269202917432248	326.16552490219965	0.001425903208399968	326.6309371081497
9.28001	0.036832407293580616	6.65558	0.250458	0.0014732962917432247	338.28898969755335	0.0014722120555650153	338.7873896116123
9.48001	0.03814610729358062	6.84156	0.256714	0.0015258442917432246	347.74195792931545	0.0015246813741456849	348.2725580108215
9.70001	0.039271207293580614	7.0652	0.262825	0.0015708482917432245	359.10910394152785	0.0015696158001014167	359.6732098640038
9.90001	0.040394307293580616	7.2426	0.268692	0.0016157722917432245	368.12596900397864	0.0016144683361017295	368.72077674456636
10.11	0.041694207293580615	7.46444	0.275078	0.0016677682917432247	379.40162484081105	0.0016663791105461557	380.0343788405564
10.31	0.042810507293580616	7.66549	0.281502	0.0017124202917432247	389.6205691520045	0.0017109557717927546	390.2877633207009
10.51	0.04409960729358062	7.86566	0.287155	0.0017639842917432248	399.79478493301224	0.0017624302986636263	400.5000166535549
10.73	0.04545560729358061	8.08746	0.293945	0.0018182242917432244	411.0684076548362	0.0018165733228739398	411.81582221920246
10.93	0.04662130729358061	8.29148	0.299789	0.0018648522917432244	421.4383107554067	0.001863115613472028	422.22423095504735
11.14	0.047851307293580614	8.50647	0.30619	0.0019140522917432245	432.365795647043	0.0019122228277432297	433.19336638907254
11.34	0.049036407293580615	8.69392	0.312096	0.0019614562917432245	441.89348085536545	0.001959535148100277	442.7602356036695
11.54	0.050071307293580614	8.88235	0.317566	0.0020028522917432245	451.47097738139473	0.00200084925716765	452.3752070630986
11.76	0.05153890729358061	9.1031	0.324425	0.0020615562917432246	462.6912308342471	0.0020594342006109083	463.64509485230786
11.96	0.052459807293580615	9.29595	0.330086	0.0020983922917432248	472.4933865687094	0.0020961937417146243	473.48486304898483
12.18	0.053907907293580616	9.52344	0.337074	0.0021563162917432248	484.0562199004847	0.002153994778447233	485.09999821357576
12.4	0.05511310729358061	9.73931	0.343544	0.0022045242917432244	495.02843332230674	0.002202097893448423	496.11973552866937
12.6	0.05629790729358061	9.92944	0.349693	0.0022519162917432247	504.6923372361949	0.002249384528417611	505.82886213273497
12.82	0.05758910729358061	10.1363	0.356247	0.0023035642917432243	515.206591502365	0.0023009151550446388	516.3934030094206
13.02	0.05874950729358062	10.3445	0.362434	0.002349980291743225	525.7889551213178	0.002347223406297034	527.0245488034692
13.23	0.06003670729358061	10.5557	0.368462	0.0024014682917432245	536.5238023659042	0.0023985893749288957	537.8122472650515
13.43	0.06129620729358062	10.7593	0.375427	0.0024518482917432246	546.8723577588859	0.0024488474158477942	548.2132058150586
13.63	0.06241160729358061	10.9469	0.380623	0.0024964642917432245	556.40766714849	0.0024933533013386045	557.7967190211783
13.85	0.06370540729358061	11.161	0.387985	0.0025482162917432245	567.2899152311884	0.002544975093623335	568.7354926353221
14.05	0.06491420729358062	11.3683	0.39418	0.0025965682917432247	577.8265337624513	0.0025932030324546953	579.3268998181468
14.26	0.06611960729358062	11.5701	0.400261	0.0026447842917432245	588.0835989800532	0.0026412930042150587	589.6389532448675
14.46	0.06728120729358061	11.7575	0.406044	0.0026912482917432244	597.608742794615	0.0026876333673794537	599.2170563027918
14.66	0.06857040729358062	11.9553	0.41217	0.0027428162917432245	607.6624965113723	0.00273906163512681	609.3292031066851
14.88	0.06971760729358062	12.1596	0.418678	0.0027887042917432246	618.0466314170019	0.0027848230699752483	619.7701807105319
15.08	0.07096620729358061	12.3509	0.424698	0.0028386482917432242	627.7700039448871	0.002834626938022944	629.5520221941929
15.29	0.07233880729358061	12.5862	0.43119	0.0028935522917432244	639.7298029820612	0.0028893740273878235	641.5808946195764
15.49	0.07321010729358061	12.7632	0.436928	0.0029284042917432245	648.7263368944274	0.0029241248684473606	650.6260698835559
15.69	0.07441300729358061	12.9422	0.442848	0.0029765202917432245	657.8245265572159	0.002972099225975116	659.7825546089199
15.91	0.07577080729358061	13.1801	0.449516	0.0030308322917432244	669.9164780699388	0.003026248578860745	671.946882564444
16.11	0.07705460729358062	13.3894	0.456306	0.0030821842917432246	680.5547523516238	0.0030774440993391787	682.6523475189932
16.32	0.07823040729358062	13.5719	0.461494	0.003129216291743225	689.8308395776513	0.003124330484288271	691.9894694794045
16.52	0.07939010729358062	13.7563	0.467384	0.003175604291743225	699.2034997665799	0.003170572709828949	701.4238934012405
16.72	0.08039920729358062	13.9262	0.47319	0.0032159682917432247	707.8391557649472	0.003210808126042775	710.1155440455416
16.92	0.08160360729358061	14.1314	0.479149	0.0032641442917432247	718.2690357582668	0.003258828537216632	720.613569531273
17.14	0.08284050729358061	14.3352	0.486336	0.0033136202917432244	728.627756726291	0.0033081423499014295	731.0421524461066
17.36	0.08418810729358062	14.5571	0.493324	0.003367524291743225	739.906462235636	0.0033618668792403474	742.3981152208323
17.56	0.08543050729358062	14.7505	0.499573	0.003417220291743225	749.7365733014644	0.003411394861894528	752.2985883332123
17.77	0.08663500729358062	14.9577	0.505646	0.0034654002917432246	760.2681090452063	0.0034594096281942033	762.9027423720945
17.97	0.08791120729358061	15.1513	0.511765	0.0035164482917432243	770.1083856860771	0.003510280043436908	772.81643200338
18.17	0.08914610729358062	15.3329	0.517845	0.003565844291743225	779.3387278244144	0.003559501742210885	782.1177283783614
18.38	0.09037550729358061	15.554	0.524406	0.0036150202917432247	790.5767710335906	0.0036085018107922867	793.434722103058
18.58	0.09157250729358062	15.7465	0.530083	0.003662900291743225	800.3611370117292	0.003656208209112109	803.2927800539893
18.78	0.09272300729358061	15.9426	0.536354	0.0037089202917432247	810.3284833406276	0.003702059206457261	813.3339270954672
18.98	0.09392730729358062	16.1289	0.542618	0.0037570922917432247	819.7977164924573	0.0037500520488836175	822.8777721738797
19.19	0.09522140729358061	16.3451	0.549042	0.0038088562917432244	830.786703113099	0.0038016209650113012	833.951050274348
19.39	0.09645640729358061	16.5259	0.554657	0.0038582562917432246	839.9763829512676	0.0038508323105579025	843.2172271157051
19.59	0.09750280729358062	16.7243	0.560966	0.0039001122917432245	850.0606333931515	0.0038925265708443586	853.3759653181752
19.81	0.09889490729358061	16.9331	0.566757	0.003955796291743224	860.6734937372311	0.00394799270242892	864.0781427521584
20.01	0.10008430729358062	17.1238	0.572945	0.004003372291743225	870.3663695399896	0.003995380120214426	873.850770147471
20.22	0.10146780729358061	17.3271	0.579483	0.004058712291743224	880.6996765704082	0.004050497937974089	884.2741831730389
20.42	0.10249980729358062	17.4944	0.585121	0.004099992291743224	889.2031800932266	0.004091610226471635	892.8489062774024
20.63	0.10416380729358062	17.7134	0.591972	0.004166552291743225	900.3344847644596	0.0041578962483184035	904.0857754752903
20.82	0.10511380729358061	17.8828	0.597115	0.0042045522917432245	908.9447268252214	0.0041957378602774835	912.7664324594624
21.04	0.10659080729358061	18.0867	0.604004	0.004263632291743225	919.3085305807666	0.004254568764815094	923.2281241178258
21.25	0.10789980729358062	18.2733	0.609985	0.0043159922917432245	928.7930120951595	0.004306705109693821	932.8016755759872
21.45	0.10924280729358062	18.4468	0.615929	0.004369712291743225	937.611648444287	0.004360192820479188	941.7087415893756
21.65	0.11068580729358062	18.6128	0.621628	0.0044274322917432244	946.0490757293311	0.004417660046745971	950.237643956789
21.85	0.11215180729358061	18.8008	0.628036	0.004486072291743224	955.6047162690196	0.004476039862385482	959.8916281085333
22.07	0.11383780729358062	18.9792	0.634926	0.004553512291743225	964.6724092066813	0.004543176419119223	969.0650568795096
22.29	0.11579280729358062	19.1727	0.641762	0.004631712291743225	974.5076030600311	0.004621018918738058	979.0212419035214
22.49	0.11776780729358062	19.3288	0.647522	0.004710712291743225	982.4418343804854	0.004699651608790398	987.0698352056241
22.71	0.11953080729358062	19.4726	0.653244	0.004781232291743225	989.7508828358426	0.00476983850376076	994.4831117176388
22.93	0.12207380729358061	19.6438	0.660446	0.0048829522917432245	998.4526150719845	0.004871069347069957	1003.3280115569473
23.13	0.12430480729358061	19.7656	0.666283	0.0049721922917432245	1004.6434502726976	0.00495987176678565	1009.6387306920938
23.34	0.1270198072935806	19.9069	0.672958	0.005080792291743224	1011.8254290400274	0.0050679286199519355	1016.9663038804838
23.54	0.1295918072935806	20.0051	0.678062	0.0051836722917432245	1016.8167263857582	0.005170283311986112	1022.0875710761052
23.75	0.13267880729358061	20.124	0.684425	0.005307152291743225	1022.8601607483591	0.005293118988374424	1028.2886353946076
23.95	0.1355848072935806	20.2442	0.691132	0.005423392291743224	1028.9696713487344	0.005408738657496893	1034.5501775327648
24.15	0.1385308072935806	20.3317	0.695862	0.005541232291743224	1033.4171104297066	0.00552593614440864	1039.1435146928595
24.35	0.1422688072935806	20.4454	0.703484	0.005690752291743224	1039.1962398412095	0.005674621130945929	1045.1100482246568
24.55	0.1453968072935806	20.5241	0.708405	0.005815872291743224	1043.196393620324	0.00579902539452835	1049.2634906208268
24.77	0.1486988072935806	20.6156	0.714973	0.005947952291743224	1047.8471442021405	0.005930333054578454	1054.0796890248942
24.97	0.1522208072935806	20.7027	0.721497	0.006088832291743224	1052.274252133028	0.006070370255995127	1058.6813735791857
25.18	0.1557758072935806	20.7795	0.727638	0.006231032291743223	1056.177832949241	0.006211699676570226	1062.758911132171
25.39	0.1596768072935806	20.8582	0.734108	0.006387072291743224	1060.1779867283553	0.006366761384459385	1066.949420171704
25.59	0.1632748072935806	20.9278	0.740112	0.0065309922917432236	1063.7156068430488	0.006509757766455671	1070.6627252719477
25.79	0.1669218072935806	20.9924	0.745644	0.0066768722917432246	1066.9990875816864	0.0066546807054344995	1074.1233042248757
25.99	0.1707258072935806	21.0546	0.751137	0.006829032291743225	1070.1605814198174	0.006805820068813913	1077.4687425876841
26.19	0.1747258072935806	21.131	0.757896	0.006989032291743223	1074.043831085946	0.006964722209131832	1081.5503581041532
26.4	0.1784348072935806	21.1729	0.764145	0.007137392291743224	1076.1735190572913	0.007112041660838118	1083.854591636789
26.6	0.1823038072935806	21.2352	0.769814	0.007292152291743224	1079.3400956829435	0.007265693100989633	1087.2108080352482
26.8	0.1865358072935806	21.3044	0.775673	0.007461432291743224	1082.8573846475524	0.007433733502251181	1090.9370517047143
27	0.1905518072935806	21.3548	0.781258	0.007622072291743224	1085.419109558192	0.00759317106399485	1093.6922524780841
27.22	0.1948808072935806	21.3984	0.787666	0.007795232291743223	1087.6352049173963	0.007765006445215575	1096.113573988405
27.42	0.1990778072935806	21.4546	0.794121	0.007963112291743225	1090.4917315042608	0.007931574030897923	1099.1754396154467
27.64	0.2037368072935806	21.5183	0.80014	0.008149472291743225	1093.7294671552086	0.008116444659607702	1102.642785142453
27.84	0.2082148072935806	21.5547	0.806618	0.008328592291743224	1095.5796018128929	0.008294100944213206	1104.704237639543
28.06	0.2130178072935806	21.6062	0.813393	0.008520712291743225	1098.197237386265	0.008484615922347064	1107.5546600856205
28.27	0.2176178072935806	21.6561	0.820473	0.008704712291743223	1100.7335483592992	0.008667044716142632	1110.3151172076366
28.47	0.2217118072935806	21.6758	0.825516	0.008868472291743224	1101.7348575009582	0.008829378356984894	1111.505562557553
28.67	0.2258628072935806	21.7135	0.831459	0.009034512291743225	1103.651068396417	0.008993945238191118	1113.62201753964
28.87	0.2302298072935806	21.7673	0.837669	0.009209192291743225	1106.3856080827745	0.00916704623688563	1116.574525896426
29.09	0.2353008072935806	21.7962	0.84388	0.009412032291743224	1107.8545336763755	0.009368015094452845	1118.2816963218918
29.31	0.2402178072935806	21.8346	0.851517	0.009608712291743225	1109.8063240844822	0.00956284221661067	1120.4701337521672
29.51	0.2443928072935806	21.8636	0.856888	0.009775712291743224	1111.2803324656045	0.009728239154754511	1122.143889271261
29.72	0.2484408072935806	21.8871	0.862198	0.009937632291743223	1112.4747875330654	0.009888578740350828	1123.5301529054043
29.92	0.2536958072935806	21.9402	0.869125	0.010147832291743224	1115.1737477067754	0.010096688748015203	1126.4903438746585
30.12	0.2579728072935806	21.9523	0.873962	0.010318912291743223	1115.7887649968297	0.010266035757430325	1127.3024913989445
30.33	0.2629988072935806	21.9843	0.88092	0.010519952291743224	1117.4152570035853	0.010465002636172078	1129.170412197329
30.53	0.2676448072935806	22.0051	0.887253	0.010705792291743224	1118.4724768079764	0.01064889105241831	1130.4466108287143
30.73	0.2720608072935806	22.0344	0.892784	0.010882432291743224	1119.961733551662	0.010823644741919805	1132.1496412863812
30.93	0.2768648072935806	22.068	0.898933	0.011074592291743224	1121.669550158755	0.011013718020671335	1134.0915831128264
31.15	0.2822628072935806	22.1019	0.905785	0.011290512291743224	1123.3926151284118	0.011227250186877228	1136.0762932579728
31.35	0.2865308072935806	22.1041	0.911079	0.011461232291743223	1123.5044364538762	0.011396049942816004	1136.381181780878
31.56	0.2913078072935806	22.1407	0.916916	0.011652312291743223	1125.3647366866028	0.011584946904214705	1138.4778380405903
31.76	0.2960288072935806	22.1503	0.922874	0.011841152291743224	1125.8526842886297	0.011771594406520498	1139.1840773813592
31.96	0.3004748072935806	22.1816	0.928902	0.012018992291743224	1127.4435967827371	0.011947337775877101	1140.9943326818443
32.18	0.3061588072935806	22.2087	0.935364	0.012246352291743224	1128.8210322009584	0.012171972359050142	1142.6449722356206
32.38	0.3109358072935806	22.2173	0.942085	0.012437432291743225	1129.258151927774	0.01236072282173695	1143.3032237322748
32.6	0.3160478072935806	22.2464	0.947571	0.012641912291743225	1130.7372430964172	0.012562670465163078	1145.0319241486495
32.81	0.3212668072935806	22.2662	0.954559	0.012850672291743224	1131.743635025597	0.012768803039854438	1146.2873015975772
33.01	0.3258268072935806	22.277	0.960571	0.013033072291743225	1132.292576077877	0.01294887260305684	1147.0498270773041
33.21	0.3306968072935806	22.3049	0.966377	0.013227872291743223	1133.710673796267	0.013141147937702857	1148.7072538050302
33.42	0.3359038072935806	22.3119	0.972855	0.013436152291743225	1134.0664689227447	0.01334668768006457	1149.30395870815
33.62	0.3402958072935806	22.3404	0.978149	0.013611832291743224	1135.515063366261	0.013520023488368942	1150.9715039735506
33.82	0.3453288072935806	22.3552	0.984337	0.013813152291743225	1136.2673159193857	0.013718620232704924	1151.9627493983105
34.02	0.3498578072935806	22.3626	0.989967	0.013994312291743225	1136.643442195948	0.013897295973519474	1152.5499854904
34.23	0.3552088072935806	22.3837	0.996666	0.014208352291743226	1137.7159103629024	0.014108359694647833	1153.88097882526
34.43	0.3602528072935806	22.4033	1.00222	0.014410112291743224	1138.7121367170403	0.014307273392997328	1155.1211064751037
34.63	0.3648008072935806	22.4075	1.00817	0.014592032291743225	1138.9256137929267	0.014486593065944022	1155.5448531272866
34.83	0.3699248072935806	22.4269	1.01432	0.014796992291743225	1139.9116745720223	0.014688584895222762	1156.7789388339327
35.05	0.3752058072935806	22.4503	1.02053	0.015008232291743225	1141.101046851962	0.01489672309311907	1158.226956431468
35.27	0.3806288072935806	22.4491	1.02661	0.015225152291743226	1141.040053401709	0.015110412812214983	1158.4125619857289
35.48	0.3862218072935806	22.4757	1.03332	0.015448872291743222	1142.3920748823243	0.015330753446109631	1160.040744154281
35.68	0.3905808072935806	22.48	1.03896	0.015623232291743222	1142.610634745732	0.015502446021705321	1160.4619061113808
35.8801	0.3961378072935806	22.5089	1.04592	0.015845512291743226	1144.0795603393333	0.015721282763820857	1162.2080870754223
36.0801	0.4008528072935806	22.5155	1.05141	0.016034112291743223	1144.4150243157264	0.015906923682957767	1162.7647033239627
36.2801	0.4053768072935806	22.5254	1.0578	0.016215072291743224	1144.9182202803165	0.016085012080631664	1163.4831519902957
36.4901	0.4105518072935806	22.5349	1.06317	0.016422072291743223	1145.401085094822	0.01628868837501335	1164.2109445172903
36.6901	0.4154018072935806	22.5546	1.06914	0.016616072291743226	1146.4023942364809	0.01647953575395282	1165.4510992945418
36.8901	0.4202008072935806	22.5558	1.07544	0.016808032291743224	1146.4633876867342	0.016668340440724787	1165.7331813282742
37.1101	0.4255638072935806	22.5654	1.08202	0.017022552291743223	1146.951335288761	0.016879292132003006	1166.4753743697986
37.3201	0.4307628072935806	22.5925	1.08813	0.017230512291743223	1148.328770706982	0.017083750470392716	1168.115063705611
37.5301	0.4359398072935806	22.597	1.09495	0.017437592291743225	1148.557496145432	0.017287302096575204	1168.5855734868414
37.7401	0.4414638072935806	22.6242	1.10156	0.017658552291743224	1149.9400143511739	0.017504451543255063	1170.246290226962
37.9401	0.4456798072935806	22.6132	1.10629	0.017827192291743222	1149.3809077238518	0.01767015154958983	1169.8711421823034
38.1401	0.4506178072935806	22.631	1.113	0.018024712291743225	1150.2856439026095	0.01786419316939038	1171.0192116872765
38.3401	0.4559248072935806	22.6501	1.11909	0.018236992291743224	1151.2564563191418	0.018072692892477198	1172.2519114388535
38.5501	0.4610908072935806	22.6531	1.12528	0.018443632291743225	1151.408939944775	0.018275611306110502	1172.6451030505423
38.7501	0.4661028072935806	22.6698	1.13187	0.018644112291743224	1152.2577654608006	0.018472441316187648	1173.7405886290846
38.9501	0.4712008072935806	22.6762	1.1377	0.018848032291743224	1152.5830638621517	0.018672608959751934	1174.306986668742
39.1701	0.4766668072935806	22.6865	1.1435	0.019066672291743223	1153.106590976826	0.018887181238314	1175.0924964644303
39.3701	0.4817178072935806	22.7043	1.14963	0.019268712291743224	1154.0113271555838	0.01908542143194432	1176.2476393999575
39.5801	0.4870758072935806	22.7048	1.15626	0.019483032291743224	1154.0367410931894	0.01929566772736392	1176.5208761857662
