Time,Displacement,Force,Machine Displacement,Engineering Strain,Engineering Stress,True Strain,True Stress
s,mm,kN,mm,,MPa,,MPa
0,0.0004538285895405225,0.0749714,0,1.81531435816209e-05,3.8121601521403896,1.8152978815350375e-05,3.8122293548309876
0.25,0.0004168953895405225,0.0753266,-0.000289917,1.66758155816209e-05,3.830221429988213,1.6675676541645845e-05,3.8302853020544156
0.460001,0.0004204778895405225,0.076201,-0.000667572,1.68191155816209e-05,3.874683089194678,1.6818974141862547e-05,3.874748257937397
0.660001,0.0003267435895405225,0.0762686,-0.000698089,1.3069743581620901e-05,3.878120426983284,1.306965817326292e-05,3.878171113022843
0.880001,0.0002913735895405225,0.0757527,-0.000366211,1.1654943581620901e-05,3.8518878446587013,1.1654875663246595e-05,3.8519327381942134
1.09,0.0003268745895405225,0.0771723,0.00373459,1.30749835816209e-05,3.924071938219425,1.30748981047541e-05,3.9241232453955903
1.3,0.0002952175895405225,0.0773768,0.00988388,1.18087035816209e-05,3.934470393511879,1.1808633859448181e-05,3.934516854506507
1.51,0.0002113195895405225,0.0765618,0.016098,8.4527835816209e-06,3.89302911691848,8.452747856951301e-06,3.893062023851082
1.71,0.0003610718895405225,0.0774308,0.0221214,1.44428755816209e-05,3.937216195887393,1.4442771284398336e-05,3.9372730606110484
1.91,0.0003917519895405225,0.0768773,0.0283928,1.56700795816209e-05,3.9090717215383783,1.5669956807283287e-05,3.9091329770033454
2.11,0.0004162438895405225,0.0758107,0.0343819,1.66497555816209e-05,3.8548370398027707,1.6649616975935032e-05,3.8549012218972902
2.32,0.0004557177795405225,0.075348,0.0413437,1.82287111816209e-05,3.8313095812999904,1.8228545040685964e-05,3.831379421135795
2.52,0.0005128439895405225,0.0753016,0.0470047,2.0513759581620897e-05,3.8289502251847343,2.051354917738648e-05,3.829028771349104
2.73,0.0003969629895405225,0.0768498,0.0532379,1.58785195816209e-05,3.9076733962545527,1.5878393519267075e-05,3.9077354443230936
2.92,0.0003701261895405225,0.0770644,0.0592461,1.48050475816209e-05,3.9185854182876123,1.4804937988032195e-05,3.918643433131183
3.13,0.0004566295395405225,0.0767,0.0649872,1.82651815816209e-05,3.900056337072109,1.8265014775257968e-05,3.9001275723092843
3.33,0.0004367625895405225,0.0770916,0.0711937,1.74705035816209e-05,3.9199684891137965,1.747035097411447e-05,3.9200369729373254
3.54001,0.0004654232895405225,0.0759678,0.0771332,1.86169315816209e-05,3.8628252907878298,1.8616758288752017e-05,3.8628972047419805
3.74001,0.0005298449895405225,0.0753615,0.0829811,2.1193799581620897e-05,3.8319960318938686,2.1193574996145405e-05,3.832077246449766
3.94001,0.0004221714895405225,0.0823477,0.0891914,1.68868595816209e-05,4.187231671816335,1.6886717000158228e-05,4.187302381009612
4.14001,0.0004465982695405225,0.0918362,0.0953674,1.7863930781620898e-05,4.669704742928574,1.7863771223403006e-05,4.669788162210872
4.34001,0.0004248420895405225,0.103924,0.101166,1.69936835816209e-05,5.284347519868082,1.699353919065141e-05,5.28443732039777
4.55001,0.0004761709895405225,0.125003,0.107311,1.9046839581620898e-05,6.356176561969034,1.9046658192792197e-05,6.356297627044361
4.75001,0.0004024996895405225,0.145663,0.113472,1.6099987581620902e-05,7.406700211563684,1.6099857978154736e-05,7.40681945934511
4.96001,0.0005573335895405225,0.174664,0.119564,2.2293343581620902e-05,8.881348631790912,2.2293095088723294e-05,8.88154662674743
5.17001,0.0006773825895405225,0.208123,0.126274,2.7095303581620902e-05,10.582678292574426,2.7094936510584815e-05,10.582965033455471
5.38001,0.0007868795895405225,0.244168,0.131985,3.14751835816209e-05,12.415501378229763,3.147468824851144e-05,12.415892158414902
5.59001,0.0010996085895405225,0.283874,0.138092,4.39843435816209e-05,14.434479695306493,4.398337629867229e-05,14.435114586420832
5.79001,0.0012131445895405225,0.335665,0.144524,4.85257835816209e-05,17.067958414384737,4.85246062438612e-05,17.068786650440934
5.98001,0.0015785685895405225,0.379625,0.149914,6.31427435816209e-05,19.303244940821376,6.314075016242505e-05,19.304463800666966
6.20001,0.0018167785895405225,0.43652,0.156868,7.26711435816209e-05,22.196252832577798,7.266850316203674e-05,22.19786585965437
6.41001,0.0022726185895405224,0.498148,0.163486,9.09047435816209e-05,25.32992521772877,9.09006119957149e-05,25.332227828085628
6.61001,0.0025736885895405225,0.547911,0.169529,0.0001029475435816209,27.860283803148846,0.00010294224484693733,27.86315195092987
6.82001,0.0032672785895405225,0.6032,0.175781,0.0001306911435816209,30.671629498329803,0.0001306826042381603,30.675638008664453
7.03001,0.003870848589540523,0.666095,0.182041,0.0001548339435816209,33.86972654292108,0.00015482195804363187,33.87497072624975
7.23001,0.0043613385895405225,0.723484,0.187908,0.0001744535435816209,36.78785344159424,0.00017443832833180818,36.79427121298789
7.44001,0.005012518589540522,0.785581,0.19355,0.00020050074358162089,39.94537362885847,0.0002004806459939428,39.9533827059737
7.64001,0.005618438589540522,0.857561,0.199928,0.00022473754358162088,43.60542649903383,0.000224712293882762,43.615226275472054
7.85001,0.006286108589540522,0.943217,0.20644,0.00025144434358162086,47.960879244904085,0.0002514127367508768,47.97293873670342
8.06001,0.006941978589540522,1.02792,0.212334,0.0002776791435816209,52.26787366366573,0.0002776405978636833,52.28238736206149
8.26001,0.007682538589540522,1.11877,0.218334,0.0003073015435816209,56.887431919506696,0.00030725433613340694,56.904913515145964
8.47001,0.008470508589540522,1.21027,0.224728,0.0003388203435816209,61.54004150023809,0.000338762956931212,61.56089251824323
8.67001,0.009156808589540523,1.30962,0.230606,0.0003662723435816209,66.59180938926174,0.00036620528224135966,66.61620012735008
8.88001,0.009887398589540523,1.41241,0.236691,0.0003954959435816209,71.81849505924403,0.00039541775567563975,71.8468989827141
9.09001,0.011136228589540522,1.52731,0.2435,0.0004454491435816209,77.66095233603133,0.0004453499605648301,77.69554634073916
9.29001,0.011658128589540523,1.63661,0.248695,0.0004663251435816209,83.21865973683943,0.00046621644780232727,83.25746669028989
