Time,Displacement,Force,Machine Displacement,Engineering Strain,Engineering Stress,True Strain,True Stress
s,mm,kN,mm,,MPa,,MPa
0,0.000955767019580735,0.157449,0,3.8230680783229396e-05,8.028442964478174,3.8229950009273217e-05,8.028749897318335
0.24,0.000961629459580735,0.161038,-6.8664e-05,3.84651783832294e-05,8.21144877461042,3.84644386171252e-05,8.211764629452318
0.450001,0.0008999435195807349,0.15623,-0.000221252,3.5997740783229396e-05,7.966285237381153,3.59970928802113e-05,7.966572005652134
0.650001,0.001019016119580735,0.160708,0.000213623,4.07606447832294e-05,8.194621826339693,4.075981409069124e-05,8.194955844409089
0.860001,0.001004685919580735,0.162451,-5.3405e-05,4.0187436783229404e-05,8.283498707660538,4.018662928984193e-05,8.283831600241196
1.06,0.000925152119580735,0.161476,1.5259e-05,3.70060847832294e-05,8.233782724133386,3.700540007492327e-05,8.23408742419496
1.26,0.001170853019580735,0.24056,0.00603485,4.68341207832294e-05,12.266335381837099,4.683302410012994e-05,12.266909864869941
1.48,0.0017024460195807349,0.318285,0.0125809,6.80978407832294e-05,16.229591607116813,6.80955222305087e-05,16.23069680726205
1.69,0.002036927019580735,0.396464,0.0181656,8.14770807832294e-05,20.215997633956864,8.147376170625905e-05,20.2176447744292
1.9,0.002444307019580735,0.494757,0.0250778,9.77722807832294e-05,25.228031653273934,9.776750138541809e-05,25.230498255468348
2.12,0.003038297019580735,0.589509,0.0320435,0.0001215318807832294,30.059507418570856,0.00012152449638249618,30.063160607042853
2.33,0.003535627019580735,0.66665,0.0383453,0.0001414250807832294,33.99298504448662,0.00014141508119923255,33.9977925051426
2.53,0.004371747019580735,0.774091,0.0449753,0.00017486988078322941,39.4714824661692,0.00017485459282794163,39.4783848396024
2.74,0.0049681470195807355,0.877299,0.0507202,0.0001987258807832294,44.73413603321544,0.00019870613741096883,44.743025863799716
2.94,0.005631127019580735,0.986424,0.0569611,0.0002252450807832294,50.29850188183105,0.0002252197169185868,50.30983137195069
3.14,0.006381257019580735,1.11119,0.0630035,0.0002552502807832294,56.66041408772682,0.0002552177099727602,56.67487667433201
3.34,0.0071177070195807355,1.23164,0.0684357,0.0002847082807832294,62.802250206542425,0.0002846677590717967,62.82013052722805
3.55,0.007936757019580735,1.37512,0.0752716,0.00031747028078322944,70.11840335164545,0.00031741989775686407,70.14066386084558
3.75001,0.008622337019580735,1.50691,0.0809174,0.0003448934807832294,76.83847460194606,0.00034483401869838,76.8649756909096
3.96001,0.009453887019580734,1.64391,0.0873337,0.00037815548078322934,83.8242076719148,0.00037808399801980155,83.85590625546824
4.15001,0.010315467019580735,1.78518,0.0931168,0.0004126186807832294,91.0276712543563,0.00041253357710470243,91.06523097198404
4.35001,0.011073767019580735,1.93247,0.0992126,0.0004429506807832294,98.53809916585773,0.00044285260709059463,98.58174668396633
4.56001,0.011991767019580735,2.09253,0.105812,0.0004796706807832294,106.69967898468401,0.0004795556755771965,106.75085969234195
4.77001,0.012769467019580734,2.23095,0.111313,0.0005107786807832294,113.75781892296921,0.0005106482777556604,113.81592399164745
4.96001,0.013781367019580734,2.38881,0.117027,0.0005512546807832293,121.8072190866573,0.0005511027957374418,121.87436588633201
5.17001,0.014643467019580735,2.54831,0.123726,0.0005857386807832294,129.94024408417565,0.0005855672028397581,130.01635511132616
5.38001,0.015601967019580734,2.72694,0.129677,0.0006240786807832294,139.04872217387287,0.0006238840246662206,139.13549951697172
5.59001,0.016499467019580737,2.89386,0.136093,0.0006599786807832295,147.56009855372093,0.0006597609906290324,147.65748507290067
5.79001,0.017542067019580734,3.06104,0.142166,0.0007016826807832294,156.08473252917625,0.0007014366165903045,156.19425448272668
6.00001,0.018663467019580736,3.23721,0.148361,0.0007465386807832294,165.067773368128,0.0007462601593916482,165.19100284589805
6.20001,0.019542267019580735,3.39487,0.154404,0.0007816906807832294,173.10697538134897,0.0007813853197444991,173.24229149078315
6.41001,0.020606967019580737,3.60941,0.160995,0.0008242786807832295,184.04653138741537,0.0008239391496775019,184.19823701951012
6.62001,0.021591767019580738,3.76188,0.16629,0.0008636706807832295,191.8210913960149,0.0008632979318668689,191.98676164860947
6.82001,0.022596267019580736,3.94407,0.172043,0.0009038506807832295,201.11109656402664,0.0009034424537223565,201.2928709655691
7.03001,0.023813867019580735,4.15258,0.179779,0.0009525546807832294,211.74317833350972,0.0009521012884710082,211.9448752891552
7.24001,0.024833467019580738,4.321,0.185623,0.0009933386807832296,220.3310408418611,0.0009928456463889248,220.54990418730654
7.45001,0.025987567019580736,4.51531,0.191719,0.0010395026807832294,230.23905392817957,0.0010389627719969157,230.4783880419589
7.65001,0.027089367019580736,4.7042,0.197418,0.0010835746807832294,239.87069713683937,0.0010829880374816853,240.13061495091864
7.85001,0.028010167019580735,4.88026,0.203529,0.0011204066807832295,248.84812899303427,0.0011197794936441696,249.1269400992585
