Time,Displacement,Force,Machine Displacement,Engineering Strain,Engineering Stress,True Strain,True Stress
s,mm,kN,mm,,MPa,,MPa
0,0.0007846788862361368,0.128232,0,3.1387155449445474e-05,6.591302644383548,3.1386662882912644e-05,6.591509526624261
0.22,0.0006168828862361368,0.130438,0.000701905,2.4675315449445472e-05,6.704694103875017,2.467501101877453e-05,6.704859544317022
0.440001,0.0007590143862361368,0.130986,0.000717163,3.0360575449445474e-05,6.732862063893751,3.0360114576530315e-05,6.733066477460432
0.650001,0.0006068518862361368,0.126059,9.9182e-05,2.4274075449445474e-05,6.47960743065963,2.427378083886893e-05,6.479764717139285
0.870001,0.0007892385262361369,0.131171,0.000877381,3.1569541049445476e-05,6.742371320469419,3.1569042742074056e-05,6.742584174037592
1.09,0.0007280086862361367,0.131101,0.000335694,2.912034744944547e-05,6.738773223386733,2.911992346030951e-05,6.738969458804381
1.29,0.0007289857862361368,0.186702,0.00569153,2.9159431449445472e-05,9.596741736163338,2.915900632147564e-05,9.597021571696132
1.51,0.0010131178862361368,0.252757,0.0118637,4.052471544944547e-05,12.992060347545484,4.0523894345254794e-05,12.99258684709417
1.71,0.0011375318862361368,0.319286,0.0174179,4.550127544944547e-05,16.411743216316097,4.5500240297810975e-05,16.41248997156479
1.92,0.0012087278862361367,0.395523,0.0241089,4.834911544944547e-05,20.330430749068206,4.8347946668676876e-05,20.33141370741163
2.12,0.0012849398862361367,0.46973,0.0300751,5.139759544944547e-05,24.144773466422453,5.1396274638324575e-05,24.1460144497213
2.32,0.001391570886236137,0.542725,0.0359879,5.566283544944548e-05,27.89681770285936,5.566128633141488e-05,27.89837051883272
2.53,0.0017941888862361367,0.633096,0.0420837,7.176755544944546e-05,32.54201243799244,7.176498028155421e-05,32.544347898674516
2.73,0.001965308886236137,0.718027,0.0484009,7.861235544944547e-05,36.90758362841401,7.860926566019578e-05,36.910485020496985
2.93,0.002370728886236137,0.813918,0.0547638,9.482915544944548e-05,41.83651401921025,9.48246594493203e-05,41.84048134050164
3.13,0.002582948886236137,0.913632,0.0607224,0.00010331795544944547,46.96195191210798,0.00010331261851712729,46.96680392496345
3.35,0.0030556588862361367,1.02679,0.0672073,0.00012222635544944548,52.778430050428796,0.00012221888641706968,52.7848809655802
3.57001,0.003623728886236137,1.15038,0.0739212,0.00014494915544944548,59.13112745684342,0.00014493865133568854,59.13969846382907
3.77001,0.004335488886236137,1.26993,0.0793228,0.00017341955544944546,65.27616326020026,0.00017340452001663297,65.2874834234143
3.98001,0.005009078886236137,1.40175,0.0854187,0.00020036315544944548,72.05189408076485,0.0002003430854332534,72.06633062561899
4.18001,0.005799018886236137,1.53934,0.0915298,0.00023196075544944548,79.12421090371647,0.0002319338567130312,79.14256461545205
4.39001,0.006738108886236137,1.69821,0.0977173,0.0002695243554494455,87.29034923980431,0.000269488040285335,87.31387611492012
4.59001,0.007498138886236137,1.85028,0.103966,0.0002999255554494455,95.10695814500275,0.0002998805867713162,95.1354831522515
4.79001,0.008619038886236137,1.99668,0.109825,0.0003447615554494455,102.63212118650371,0.00034470213884041573,102.66750479624305
4.99001,0.009385778886236137,2.15338,0.115517,0.0003754311554494455,110.68671851302828,0.00037536069880697706,110.72827375565252
5.19001,0.010227948886236137,2.3015,0.121872,0.0004091179554494455,118.30029193998952,0.0004090342895174883,118.34869071355709
5.40001,0.011370278886236138,2.46148,0.127914,0.0004548111554494455,126.52348581553136,0.00045470776020488905,126.5810301083066
5.60001,0.012342878886236136,2.62079,0.133705,0.0004937151554494455,134.7122407618532,0.0004935933182222953,134.77875023674187
5.80001,0.013278278886236138,2.77632,0.139183,0.0005311311554494455,142.70669846571008,0.0005309901552215048,142.78249443935655
6.00001,0.014323478886236137,2.93799,0.145035,0.0005729391554494455,151.0167606851053,0.00057277508847544,151.10328410043095
6.21001,0.015520578886236137,3.12436,0.152138,0.0006208231554494455,160.5964371608193,0.0006206305244766415,160.6961391476914
6.41001,0.016479978886236136,3.28055,0.157753,0.0006591991554494455,168.6248197800272,0.0006589819791225508,168.735977118814
6.62001,0.017544978886236136,3.45678,0.163872,0.0007017991554494454,177.6832861926209,0.0007015530095787161,177.80798417280835
6.82001,0.018538578886236137,3.63013,0.169823,0.0007415431554494454,186.5937166109555,0.000741268348169603,186.73208390435823
