Time,Displacement,Force,Machine Displacement,Engineering Strain,Engineering Stress,True Strain,True Stress
s,mm,kN,mm,,MPa,,MPa
0,0.0012314081429270448,0.203507,0,4.925632571708179e-05,10.343828400587176,4.925511266408391e-05,10.344337899568037
0.23,0.0011285551429270448,0.205102,6.1035e-05,4.514220571708179e-05,10.424898861548895,4.514118683834686e-05,10.425369464477882
0.440001,0.0011869187429270449,0.203556,0.000312805,4.7476749717081796e-05,10.346318966472518,4.7475622731956376e-05,10.346810176068583
0.640001,0.0011491386429270448,0.203136,-9.1553e-05,4.596554571708179e-05,10.324971258883854,4.596448933368312e-05,10.325445851822282
0.850001,0.0011664002429270447,0.215356,0.00125885,4.665600971708179e-05,10.946087893963607,4.6654921359214046e-05,10.946598594746751
1.06,0.0015357991429270448,0.293003,0.00740051,6.14319657170818e-05,14.892719920480593,6.143007885113215e-05,14.893634809540181
1.27,0.0020145641429270447,0.379417,0.0140457,8.058256571708179e-05,19.284959928973375,8.0579319116543e-05,19.286513960524204
1.47,0.002234078142927045,0.465762,0.0199738,8.93631257170818e-05,23.67369281407659,8.935913307079968e-05,23.67580836926372
1.67,0.002475608142927045,0.535218,0.0253983,9.90243257170818e-05,27.203993714739376,9.901942313217312e-05,27.20668757187379
1.87,0.0023906681429270446,0.606119,0.031517,9.562672571708179e-05,30.80774089508222,9.5622153773186e-05,30.810686938470756
2.07,0.0022131701429270447,0.682793,0.0381012,8.852680571708178e-05,34.704917399018804,8.852288745071813e-05,34.707989714498815
2.27,0.0020778781429270448,0.747389,0.0440369,8.31151257170818e-05,37.988194826155606,8.31116718463313e-05,37.99135221974434
2.48,0.0020217941429270447,0.814608,0.0500488,8.087176571708179e-05,41.40479376997114,8.086849577207889e-05,41.40814224875247
2.68,0.0019328811429270448,0.879119,0.0561142,7.731524571708179e-05,44.683750827715,7.73122570476264e-05,44.687205562889815
