Time,Displacement,Force,Machine Displacement,Engineering Strain,Engineering Stress,True Strain,True Stress
s,mm,kN,mm,,MPa,,MPa
0,0.0007442539806393316,0.123244,0,2.9770159225573266e-05,6.251733437370386,2.976971610316607e-05,6.251919552470252
0.23,0.0007387824606393316,0.121531,-0.000648498,2.9551298425573263e-05,6.1648389891358635,2.9550861794616755e-05,6.1650211681325775
0.430001,0.0007734355806393316,0.120159,-0.000434875,3.0937423225573265e-05,6.095242268191459,3.093694467325551e-05,6.095430839281172
0.640001,0.0008709469806393316,0.119532,-0.000579834,3.4837879225573266e-05,6.063436769625758,3.483727240082566e-05,6.06364800690363
0.840001,0.0010709869806393316,0.14735,0.00183105,4.283947922557326e-05,7.4745457953046515,4.283856164128049e-05,7.47486600095397
1.05,0.0018315439806393316,0.215225,0.00818634,7.326175922557327e-05,10.917605149605995,7.325907571400059e-05,10.918404992565787
1.25,0.0026714939806393315,0.280143,0.0142975,0.00010685975922557325,14.21066632327133,0.00010685405012817118,14.212184871653069
1.45,0.0032973439806393318,0.364411,0.02034,0.00013189375922557326,18.485284749323128,0.00013188506200849024,18.48772284301907
1.65,0.004122513980639331,0.44708,0.0262299,0.00016490055922557326,22.67879154506144,0.00016488696462273517,22.68253129046978
1.87,0.004899613980639332,0.543501,0.0324936,0.00019598455922557325,27.569888797379523,0.00019596535676080418,27.57529206988338
2.07,0.006113073980639331,0.628267,0.0383911,0.00024452295922557327,31.869769006981112,0.00024449306835938784,31.877561897208537
2.28,0.006783273980639331,0.719229,0.0448227,0.00027133095922557323,36.483950443238335,0.00027129415563792507,36.49384966850843
2.48,0.007670593980639331,0.824004,0.0512772,0.0003068237592255732,41.798816650927805,0.00030677669844202403,41.81164152098383
2.68,0.008446383980639332,0.935513,0.0575027,0.0003378553592255733,47.45527492774238,0.00033779829895531894,47.471307946700236
2.9,0.009393233980639333,1.06019,0.0634766,0.0003757293592255733,53.77969940090966,0.00037565879062569183,53.7999060129049
3.1,0.010448083980639332,1.18836,0.0695877,0.0004179233592255733,60.28131144423641,0.00041783605358240754,60.30650441241371
3.32,0.011432553980639332,1.32869,0.0762177,0.00045730215922557324,67.39975739914037,0.00045719762846003613,67.43057945373027
3.54,0.012417553980639331,1.48501,0.0827484,0.0004967021592255733,75.32931965717923,0.0004965788435404136,75.36673589290594
3.74001,0.013315853980639333,1.63326,0.0891647,0.0005326341592255733,82.84951927817627,0.0005324923600009394,82.89364776221925
3.96001,0.014380553980639333,1.79212,0.095253,0.0005752221592255733,90.90792677761364,0.000575056782375356,90.96021903154539
4.17001,0.015366753980639332,1.94994,0.10183,0.0006146701592255733,98.9135787451398,0.0006144813268990084,98.97437797033665
4.37001,0.01655425398063933,2.11577,0.108223,0.0006621701592255733,107.32554976132826,0.0006619510212980494,107.3966175377027
4.57001,0.01765165398063933,2.28182,0.114143,0.0007060661592255732,115.74868060157488,0.0007058170117844118,115.83040682792266
4.77001,0.018647953980639332,2.4479,0.119652,0.0007459181592255733,124.17333323601123,0.0007456401005394931,124.26595638016353
4.99001,0.019742753980639332,2.60668,0.126183,0.0007897101592255733,132.22768261760928,0.0007893985022261232,132.33210416190326
