Time,Displacement,Force,Machine Displacement,Engineering Strain,Engineering Stress,True Strain,True Stress
s,mm,kN,mm,,MPa,,MPa
0,0.0010039612336500954,0.165852,0,4.015844934600382e-05,8.433274362660802,4.015764301696645e-05,8.433613029882116
0.23,0.0011789872336500954,0.166904,-0.000366211,4.7159489346003816e-05,8.486766660791178,4.715837737232474e-05,8.4871668923731
0.440001,0.0010480597336500954,0.163282,-0.000442505,4.192238934600382e-05,8.30259450886321,4.192151062716626e-05,8.302942573462792
0.640001,0.0009831822336500953,0.169554,-0.000167847,3.932728934600381e-05,8.6215143699599,3.932651604840026e-05,8.621853430750129
0.850001,0.0011509132336500953,0.174432,7.6294e-05,4.603652934600381e-05,8.86955185121463,4.603546969748747e-05,8.869960174598715
1.05,0.0017012652336500953,0.27771,0.00635529,6.805060934600382e-05,14.121051438960828,6.804829400832758e-05,14.122012385115855
1.26,0.0023013812336500957,0.399362,0.0136948,9.205524934600383e-05,20.306835709071596,9.205101252151464e-05,20.308705059896223
1.48,0.0030598512336500955,0.511141,0.0201187,0.00012239404934600383,25.99059577819263,0.0001223865598054503,25.993776872454838
1.7,0.0038634612336500953,0.627035,0.0260468,0.0001545384493460038,31.88359615796623,0.00015452650950991691,31.888523399476057
1.92,0.0049022812336500955,0.789578,0.0337219,0.00019609124934600382,40.148613852838615,0.00019607202596988994,40.15648664468853
2.13,0.005933551233650095,0.924868,0.039238,0.00023734204934600382,47.027865767342995,0.00023731388817760528,47.039027457380584
2.33,0.006732991233650096,1.06348,0.0449905,0.00026931964934600385,54.076035376133596,0.0002692833893194064,54.09059911501912
2.53,0.007550611233650095,1.20897,0.0515289,0.00030202444934600384,61.47393885045721,0.00030197884914325734,61.49250548298764
2.73,0.008494911233650095,1.34449,0.0570526,0.0003397964493460038,68.36488584915358,0.0003397387316068881,68.38811599462505
2.95,0.009334811233650096,1.4869,0.0630646,0.0003733924493460038,75.60617689168865,0.00037332275573364666,75.63440766726393
3.15,0.010366531233650096,1.65882,0.069664,0.00041466124934600384,84.34799808424975,0.00041457530112900344,84.3829739305152
3.37,0.011572261233650094,1.83627,0.0765076,0.0004628904493460038,93.37100977934031,0.00046278334861128077,93.41423032801296
3.58001,0.012554161233650095,2.01261,0.0834351,0.0005021664493460038,102.33757998115641,0.0005020404059694,102.38897048033022
3.78001,0.013532461233650095,2.15663,0.0881805,0.0005412984493460038,109.66073661303548,0.0005411520001864814,109.72009579971827
3.99001,0.014686561233650095,2.33684,0.0946274,0.0005874624493460038,118.8240893184301,0.0005872899608317249,118.89389400898241
4.19001,0.015676661233650097,2.51259,0.100868,0.0006270664493460039,127.76065908688409,0.0006268699253314634,127.8407735097438
4.40001,0.016666361233650097,2.68504,0.107094,0.0006666544493460039,136.52942982127894,0.0006664323339793377,136.620447773136
4.60001,0.017823461233650098,2.87843,0.114059,0.000712938449346004,146.3629616990674,0.000712684429456306,146.46730948202284
4.82001,0.018851861233650097,3.05581,0.119728,0.0007540744493460039,155.38241402070824,0.00075379027805693,155.49958392899896
5.03001,0.0201169612336501,3.24894,0.12648,0.000804678449346004,165.2027253685405,0.0008043548692163122,165.33566044141782
5.23001,0.021198361233650098,3.42713,0.132401,0.0008479344493460039,174.26336472581406,0.0008475751560211967,174.41112863602402
5.43001,0.022352061233650095,3.60989,0.138428,0.0008940824493460038,183.55638032116343,0.0008936829957114446,183.72049485927405
5.63001,0.023453461233650098,3.79472,0.144203,0.0009381384493460039,192.95465167424084,0.0009376986724972445,193.13566985195664
5.84001,0.024508261233650096,3.97466,0.149765,0.0009803304493460037,202.10427536775788,0.000979850239268547,202.30240434284391
6.04001,0.0257807612336501,4.1921,0.157036,0.001031230449346004,213.1607062664927,0.0010306990964930112,213.3805240773988
6.25001,0.026913361233650096,4.3772,0.162498,0.0010765344493460038,222.57270663144766,0.001075955401674903,222.81231381762058
6.45001,0.028169861233650097,4.58036,0.168945,0.001126794449346004,232.90302534643553,0.001126160092961958,233.1654591826318
6.65001,0.029333661233650096,4.78277,0.174583,0.0011733464493460038,243.19520791731907,0.0011726586163925319,243.48056015102682
6.85001,0.030604261233650096,4.97742,0.181221,0.0012241704493460039,253.09280851720283,0.001223421763651869,253.40263725433158
7.06001,0.031870261233650096,5.19286,0.187195,0.001274810449346004,264.04754303165936,0.0012739985684281283,264.3841535986403
7.26001,0.032905161233650095,5.36553,0.192329,0.0013162064493460039,272.8275003683248,0.0013153410089528684,273.1865976838685
7.46001,0.033976861233650096,5.56384,0.198654,0.0013590744493460038,282.91120535143784,0.0013581517435890737,283.29570274206463
7.66001,0.0354107612336501,5.79055,0.205635,0.001416430449346004,294.43899899130247,0.001415428257981735,294.8560513549487
7.88001,0.0368378612336501,6.00682,0.211533,0.001473514449346004,305.43593750523456,0.0014724298922062097,305.8860017724981
8.08001,0.0378064612336501,6.19624,0.216965,0.001512258449346004,315.0676020602306,0.0015111161380388972,315.54406570356144
8.30001,0.039092961233650095,6.40058,0.223175,0.0015637184493460037,325.4579216419426,0.0015624971147014874,325.9668461984999
8.50001,0.040441361233650094,6.63392,0.23024,0.0016176544493460038,337.3228387956898,0.0016163474557068236,337.8685105867337
8.71001,0.041664561233650095,6.82806,0.236092,0.0016665824493460038,347.1945068175826,0.001665195241865695,347.7731350891541
8.91001,0.0427749612336501,7.0243,0.241852,0.001710998449346004,357.1729560429676,0.0017095363590177487,357.78407841690546
9.12001,0.0442172612336501,7.25592,0.248772,0.001768690449346004,368.9504143062354,0.0017671281582613955,369.6029733803011
9.32001,0.0452654612336501,7.44933,0.2547,0.001810618449346004,378.7849631478667,0.001808981255685627,379.47079819047707
9.52001,0.0468138612336501,7.67434,0.260864,0.001872554449346004,390.2263148610948,0.0018708034048731804,390.9570348832399
9.72001,0.047889461233650094,7.85461,0.266396,0.0019155784493460038,399.3927184580177,0.0019137460686211442,400.1577865423217
9.92001,0.049220561233650095,8.06986,0.272659,0.001968822449346004,410.3377918159678,0.001966886858567403,411.14567407231016
10.13,0.0503472612336501,8.2578,0.278404,0.002013890449346004,419.8942010465979,0.002011865290484669,420.73982196782146
10.33,0.0517036612336501,8.47447,0.284195,0.002068146449346004,430.9114788373856,0.0020660107785576824,431.8026668823255
10.53,0.052813861233650096,8.66743,0.290062,0.002112554449346004,440.72314599255424,0.0021103261439212114,441.65419763555064
10.75,0.0542072612336501,8.89678,0.296326,0.0021682904493460038,452.38517885966615,0.002165943100153867,453.36608132241327
10.95,0.0555033612336501,9.11087,0.302811,0.002220134449346004,463.2712683147349,0.0022176735924750784,464.29979281691266
11.16,0.0568106612336501,9.33083,0.309074,0.002272426449346004,474.4558366576603,0.002269848393252127,475.5340026499278
11.36,0.0580886612336501,9.52645,0.314682,0.002323546449346004,484.4027600039191,0.002320851189528447,485.5282923169797
11.56,0.059512461233650095,9.75,0.32132,0.002380498449346004,495.76987335662403,0.00237766955148092,496.950052771382
11.78,0.060703261233650094,9.96123,0.32766,0.0024281304493460037,506.51053698217476,0.00242518730387123,507.7404106399358
11.98,0.0619651612336501,10.1733,0.334236,0.002478606449346004,517.2939130891224,0.0024755397707283268,518.5760811183126
12.19,0.06319346123365009,10.3568,0.339996,0.002527738449346004,526.6245563466547,0.0025245490919555114,527.955725486102
12.39,0.0641859612336501,10.5336,0.345535,0.002567438449346004,535.6145167168548,0.0025641482097055793,536.9896740211016
12.59,0.06564846123365009,10.7588,0.352066,0.0026259384493460035,547.0655295865895,0.0026224966968796783,548.5020899950428
12.79,0.0669224612336501,10.9773,0.358513,0.002676898449346004,558.1758595689917,0.0026733219379087136,559.6700396619342
13,0.0682286612336501,11.1903,0.364899,0.002729146449346004,569.0065244946288,0.002725429091115678,570.5594266306081
13.2,0.0695655612336501,11.3903,0.370193,0.0027826224493460038,579.1761629224569,0.002778758122480057,580.787791515531
13.4,0.0706172612336501,11.5764,0.376175,0.002824690449346004,588.639011479551,0.002820708508017435,590.3017344733897
