Time,Displacement,Force,Machine Displacement,Engineering Strain,Engineering Stress,True Strain,True Stress
s,mm,kN,mm,,MPa,,MPa
0,0.0010129176417177142,0.167131,0,4.051670566870857e-05,8.508508190428799,4.05158848891871e-05,8.50885292715083
0.23,0.0010051662417177142,0.16395,0.00012207,4.020664966870857e-05,8.34656597412091,4.020584140307655e-05,8.346901561574969
0.430001,0.0010879566417177143,0.169129,0.000770569,4.351826566870857e-05,8.610224804129889,4.351731877636629e-05,8.610599506180382
0.640001,0.0009560520417177142,0.169228,0.000663757,3.824208166870857e-05,8.615264816520481,3.824135045893022e-05,8.615594282181192
0.840001,0.0012061826417177142,0.188023,0.00180054,4.8247305668708566e-05,9.57210353249244,4.824614180484155e-05,9.572565360697464
1.04,0.0016629316417177142,0.277152,0.00776672,6.651726566870856e-05,14.109591051293432,6.651505349342392e-05,14.110529582709866
1.24,0.002231847641717714,0.371101,0.0137939,8.927390566870856e-05,18.89246099153549,8.926992099085194e-05,18.8941475953159
1.46,0.0029633476417177144,0.480163,0.0207062,0.00011853390566870858,24.444721914192243,0.00011852688108032667,24.447619442553716
1.67,0.003646777641717714,0.565335,0.0259552,0.00014587110566870856,28.780761665017653,0.00014586046751355705,28.78495994654372
1.87,0.004366617641717714,0.668596,0.0321808,0.00017466470566870857,34.037698225271996,0.00017464945356489948,34.04364340981415
2.07,0.005101967641717714,0.77769,0.0386658,0.0002040787056687086,39.591588242842874,0.00020405788444241948,39.599668042926844
2.28,0.006142347641717714,0.906706,0.0452957,0.00024569390566870855,46.15969166289279,0.00024566372786401274,46.17103281782191
2.48,0.006870527641717714,1.03109,0.0512085,0.00027482110566870856,52.49198359412217,0.00027478334926596203,52.50640949909225
2.7,0.007743257641717714,1.15296,0.0575104,0.00030973030566870853,58.69628975616007,0.0003096823491397338,58.71446977592787
2.91,0.008631087641717715,1.29021,0.06353,0.0003452435056687086,65.68357966130246,0.0003451839228430044,65.7062564906096
3.11,0.009529017641717714,1.43498,0.0697708,0.0003811607056687086,73.05370687126576,0.00038108808238047405,73.08155207372853
3.31,0.010633237641717714,1.58326,0.0760498,0.00042532950566870857,80.60252542962287,0.0004252390787143776,80.6368080619195
3.53,0.011590817641717713,1.73472,0.0824051,0.00046363270566870853,88.3132352950718,0.0004635252612342965,88.35418019929801
3.74001,0.012726617641717715,1.89916,0.088974,0.0005090647056687086,96.68474678506536,0.0005089351761888083,96.73396557723015
3.94001,0.013613617641717713,2.05646,0.0951767,0.0005445447056687086,104.69276647234331,0.0005443964950028825,104.74977636404763
4.14001,0.014712917641717714,2.20785,0.101059,0.0005885167056687086,112.39991269266757,0.0005883435976269566,112.46606191900291
