Time,Displacement,Force,Machine Displacement,Engineering Strain,Engineering Stress,True Strain,True Stress
s,mm,kN,mm,,MPa,,MPa
0,0.0011203108095348907,0.185739,0,4.481243238139563e-05,9.410610800093082,4.4811428334250395e-05,9.411032512453227
0.24,0.0011748314095348907,0.193016,0.000480651,4.699325638139563e-05,9.779305661119993,4.6992152232874656e-05,9.779765222538158
0.430001,0.0010880675095348907,0.194584,0.000816345,4.352270038139563e-05,9.858749599843396,4.3521753296193034e-05,9.859178679248366
0.640001,0.0010978380095348907,0.199468,0.00024414,4.391352038139563e-05,10.106201255918075,4.391255621094615e-05,10.106645054792905
0.840001,0.0010255348095348908,0.1957,3.8147e-05,4.102139238139563e-05,9.915292607251125,4.102055102707207e-05,9.915699346359743
1.04,0.0016225258095348906,0.283339,0.00521851,6.490103238139563e-05,14.355590659406879,6.48989264005546e-05,14.35652235206112
1.25,0.0025782308095348904,0.416302,0.0124283,0.00010312923238139562,21.092264399508725,0.00010312391492772803,21.094439628545434
1.45,0.003196460809534891,0.527417,0.0178375,0.00012785843238139564,26.721992238316638,0.00012785025918869063,26.725408870354336
1.66,0.003966910809534891,0.652463,0.0244293,0.00015867643238139564,33.057545019953444,0.0001586638446077961,33.0627904732605
1.87,0.004931480809534891,0.797361,0.0311966,0.00019725923238139562,40.39891481149905,0.00019723977933711474,40.406883870423805
2.08,0.00556729080953489,0.909087,0.0361938,0.0002226916323813956,46.05959944020491,0.00022266684028033874,46.06985652759108
2.28,0.006368880809534891,1.05728,0.042305,0.00025475523238139566,53.5679129677796,0.0002547227877774569,53.581559673895896
2.48,0.0073653008095348905,1.21051,0.0483627,0.0002946120323813956,61.33143001534776,0.0002945686427785032,61.349498992593446
2.69,0.00834765080953489,1.36278,0.0548477,0.0003339060323813956,69.04630791675875,0.0003338502981685657,69.06936289548582
2.89,0.009179590809534892,1.5172,0.0609055,0.00036718363238139566,76.87011723925092,0.0003671162369685197,76.89834268812041
3.09,0.010078570809534889,1.68744,0.0676346,0.0004031428323813956,85.4954591577917,0.00040306159214330517,85.52992603935232
3.29,0.01116391080953489,1.83577,0.0734482,0.0004465564323813956,93.01071389684923,0.0004464567557308625,93.05224842942026
3.5,0.01203251080953489,1.98752,0.0791397,0.0004813004323813956,100.69924559409174,0.0004811846444792873,100.74771218453665
3.69001,0.012972210809534892,2.14342,0.0845871,0.0005188884323813957,108.59804026690958,0.0005187538563301212,108.65439053378337
3.91001,0.01411181080953489,2.32406,0.0910416,0.0005644724323813956,117.75030626881986,0.0005643131777450703,117.81677307061308
4.12001,0.01507751080953489,2.49756,0.0972519,0.0006031004323813955,126.54081862118608,0.0006029186404045364,126.61713544361041
4.32001,0.01611241080953489,2.6852,0.103943,0.0006444964323813956,136.04774506382583,0.0006442888337485455,136.13542735015298
4.52001,0.01713931080953489,2.82453,0.10894,0.0006855724323813955,143.10700780765978,0.0006853375349546354,143.2051180270933
4.73001,0.01821821080953489,3.02366,0.115715,0.0007287284323813955,153.19608403086832,0.0007284630387427177,153.3077223730311
4.94001,0.01928091080953489,3.20849,0.121498,0.0007712364323813956,162.56063963944382,0.0007709391823875211,162.68601232720496
5.15001,0.02052131080953489,3.40967,0.128227,0.0008208524323813956,172.75358070600888,0.0008205157172731965,172.895385902934
5.35001,0.02165201080953489,3.59673,0.134003,0.0008660804323813956,182.23112099784535,0.0008657056011308399,182.38894780591252
5.56001,0.02291201080953489,3.79312,0.140114,0.0009164804323813957,192.18137299139693,0.0009160607206087237,192.35750345921173
5.75001,0.02401461080953489,3.96525,0.145676,0.0009605844323813956,200.90247322893467,0.0009601233663938338,201.09545701714532
5.97001,0.02529371080953489,4.17575,0.152176,0.0010117484323813957,211.56761933944242,0.001011236959894872,211.78167254665178
6.17001,0.02629631080953489,4.37372,0.158211,0.0010518524323813957,221.59792326104434,0.0010512996232268728,221.83101157563715
6.38001,0.02763241080953489,4.57525,0.164688,0.0011052964323813956,231.8085973496459,0.001104686042013185,232.0648145652918
6.59001,0.02882131080953489,4.76274,0.170799,0.0011528524323813957,241.3079239256986,0.0011521884083148073,241.58611635274923
6.78001,0.02986761080953489,4.95582,0.176468,0.0011947044323813957,251.0904721965624,0.0011939913409402404,251.39045109662436
7.01001,0.03110671080953489,5.16825,0.182892,0.0012442684323813956,261.85340325715697,0.0012434949719440013,262.1792191807415
7.21001,0.03253851080953489,5.38911,0.189194,0.0013015404323813956,273.0434468199443,0.0013006941628558066,273.3988239057772
7.41001,0.03366911080953489,5.56912,0.195587,0.0013467644323813957,282.16379338218894,0.0013458583585840408,282.5438015432219
7.62001,0.03485831080953489,5.78791,0.201927,0.0013943324323813955,293.24895878607487,0.0013933612535745542,293.65784532007234
7.81001,0.03608731080953489,5.9913,0.207558,0.0014434924323813954,303.5538712203559,0.001442451598683545,303.9920489362826
8.03001,0.03751691080953489,6.20514,0.214119,0.0015006764323813957,314.38824102686885,0.0014995515427604154,314.86003605079577
8.23001,0.03860441080953489,6.39409,0.219734,0.0015441764323813956,323.9615396377023,0.0015429854178875629,324.4617934122088
8.44001,0.03994971080953489,6.61828,0.225563,0.0015979884323813955,335.3203002387224,0.001596713007428432,335.8561381996465
8.65001,0.04119321080953489,6.83518,0.232079,0.0016477284323813957,346.30970732361135,0.0016463724172468145,346.8803316747782
8.85001,0.04228501080953489,7.02532,0.238297,0.0016914004323813955,355.9432982093687,0.001689971625566126,356.5453408578633
9.06001,0.04360301080953489,7.23514,0.24408,0.0017441204323813955,366.5739915913485,0.0017426012205424785,367.21334078006254
9.27001,0.04510781080953489,7.47821,0.250488,0.0018043124323813956,378.88932206679317,0.001802686616064576,379.5729567810949
9.48001,0.04630941080953489,7.68012,0.256706,0.0018523764323813956,389.1192491507486,0.0018506628989041934,389.8400444772614
9.69001,0.047669910809534886,7.91113,0.263237,0.0019067964323813955,400.82355035259366,0.0019049808037205338,401.5878392684204
9.90001,0.04897871080953489,8.11224,0.269218,0.001959148432381396,411.0129448147514,0.0019572318039893385,411.81818018127365
10.11,0.05027261080953489,8.32917,0.275452,0.002010904432381396,422.0038718729578,0.002008885270504669,422.85248132938926
10.31,0.05157981080953489,8.54371,0.281448,0.0020631924323813956,432.8737077235437,0.002061066973859306,433.7668094814957
