Time,Displacement,Force,Machine Displacement,Engineering Strain,Engineering Stress,True Strain,True Stress
s,mm,kN,mm,,MPa,,MPa
0,0.0010690617898872455,0.178021,0,4.276247159548982e-05,8.98011903505286,4.276155730709063e-05,8.98050304713802
0.23,0.0011144632898872455,0.171028,-0.000289917,4.457853159548982e-05,8.627363054510539,4.457753800224057e-05,8.62774764968705
0.430001,0.0011330925898872454,0.179809,0.000160218,4.532370359548982e-05,9.070313185375994,4.532267650753707e-05,9.070724285562328
0.630001,0.0010219019898872455,0.175043,0.000442505,4.087607959548982e-05,8.829896339492295,4.0875244191399114e-05,8.830257271037889
0.830001,0.0010497158898872456,0.178871,0.0003891,4.1988635595489826e-05,9.022996567365313,4.1987754097484574e-05,9.02337543068016
1.04,0.0014720067898872456,0.231062,0.00386047,5.8880271595489824e-05,11.655727495505495,5.887853822035639e-05,11.656413787906073
1.24,0.0019378097898872454,0.326889,0.00976563,7.751239159548981e-05,16.48963960009996,7.750938766528151e-05,16.49091775150191
1.44,0.0027809617898872452,0.42906,0.0156097,0.00011123847159548981,21.64356942821229,0.00011123228505555568,21.645977025795357
1.66,0.0033565817898872454,0.531194,0.0211029,0.00013426327159548983,26.795632822565146,0.00013425425908913195,26.799230491892374
1.85,0.004036231789887245,0.651678,0.0271072,0.0001614492715954898,32.87334647331033,0.00016143624006451212,32.87865385115335
2.05,0.004803371789887245,0.763674,0.0329742,0.0001921348715954898,38.52289013079894,0.0001921164160549067,38.53029172134771
2.25,0.005423741789887245,0.885925,0.0390015,0.0002169496715954898,44.68973860459836,0.00021692614141875728,44.69943402871232
2.47,0.006281681789887246,1.02334,0.0457077,0.0002512672715954898,51.62152225485192,0.00025123570926157947,51.6344930539045
2.66,0.006956831789887245,1.16186,0.0515976,0.0002782732715954898,58.609046697111665,0.00027823456077002485,58.62535602828117
2.87,0.007749111789887245,1.29341,0.0579147,0.0003099644715954898,65.24497537440931,0.0003099164425333783,65.26519899872551
3.06,0.008396131789887245,1.43043,0.063324,0.0003358452715954898,72.1568335831765,0.00033578888819606623,72.18106711454872
3.27,0.009254651789887245,1.57604,0.069519,0.0003701860715954898,79.50200708907776,0.00037011756963677064,79.53143762476603
3.48,0.010134661789887246,1.74228,0.0755768,0.0004053864715954898,87.88784352628004,0.0004053043246997821,87.92347206906328
3.68001,0.011166161789887245,1.89482,0.0809784,0.0004466464715954898,95.58259503091692,0.0004465467547512539,95.62528665973342
3.90001,0.011893161789887245,2.04683,0.0867844,0.0004757264715954898,103.2506111330531,0.00047561334963298115,103.29973018197751
4.11001,0.013104861789887245,2.23969,0.0938034,0.0005241944715954898,112.97927099397005,0.0005240571296672607,113.03849410322997
