Time,Displacement,Force,Machine Displacement,Engineering Strain,Engineering Stress,True Strain,True Stress
s,mm,kN,mm,,MPa,,MPa
0,0.0011803429342212332,0.194834,0,4.7213717368849324e-05,9.914880647458359,4.721260283634819e-05,9.915348765830993
0.25,0.0010021899342212333,0.190996,-0.000831604,4.008759736884933e-05,9.719569192964045,4.008679388269581e-05,9.719958827140452
0.450001,0.0011202855342212332,0.196077,-0.000511169,4.4811421368849326e-05,9.978135503616887,4.481041736716886e-05,9.978582638051416
0.670001,0.0010520209342212332,0.199306,6.1035e-05,4.2080837368849326e-05,10.142455640813901,4.20799519952976e-05,10.142882443840243
0.880001,0.0011286232342212332,0.200904,0.000389099,4.514492936884933e-05,10.223776043180216,4.514391036714563e-05,10.224237594827567
1.08,0.001098920234221233,0.197761,-3.0517e-05,4.395680936884932e-05,10.063832348163116,4.395584329662662e-05,10.064274722123164
1.28,0.001466364934221233,0.241014,0.0021286,5.8654597368849324e-05,12.264928320347213,5.865287725523304e-05,12.2656477147796
1.48,0.001991898934221233,0.346549,0.00867462,7.967595736884933e-05,17.635484430315277,7.967278340840743e-05,17.636889554420925
1.7,0.002916212934221233,0.465728,0.0158005,0.00011664851736884933,23.700368181012994,0.00011664171445964799,23.703132793822405
1.91,0.0034238329342212333,0.566276,0.0209885,0.00013695331736884934,28.817141533408588,0.00013694394011954433,28.82108813653868
2.11,0.004115662934221233,0.680175,0.0266647,0.00016462651736884933,34.613332089804594,0.00016461296791086234,34.61903036212107
2.31,0.004786712934221233,0.799531,0.0328598,0.00019146851736884932,40.68722316917493,0.00019145018961180335,40.69501349147099
2.52,0.005698712934221233,0.935947,0.0397873,0.00022794851736884932,47.62927824377012,0.00022792254105299595,47.64013526712914
2.72,0.006415362934221233,1.05835,0.0451584,0.0002566145173688493,53.85822768735207,0.0002565815974952318,53.8720484904564
2.92,0.007067532934221233,1.186,0.0520706,0.0002827013173688493,60.35419099277135,0.0002826613648808876,60.37125320207373
3.12,0.007884492934221233,1.32282,0.057663,0.00031537971736884935,67.31680516783963,0.0003153299956397579,67.33803552282765
3.33,0.008707182934221232,1.46763,0.0637054,0.0003482873173688493,74.68602135473947,0.000348226679420291,74.71203354876205
3.53,0.009360462934221233,1.59835,0.069603,0.0003744185173688493,81.33821346820918,0.00037434844024735207,81.36866800150138
3.73001,0.010382152934221232,1.75516,0.0750885,0.0004152861173688493,89.31809600579474,0.00041519990995543646,89.35518857109575
3.94001,0.011236742934221233,1.90905,0.0816116,0.0004494697173688493,97.14938306471345,0.0004493687361130509,97.19304877046211
4.14001,0.012202242934221232,2.06615,0.0872726,0.00048808971736884926,105.14402337244059,0.000487970640328088,105.19534308909147
4.34001,0.013136142934221233,2.23917,0.0937958,0.0005254457173688494,113.94881437207742,0.0005253077191062304,114.00868828858849
4.54001,0.014232442934221233,2.39624,0.0991821,0.0005692977173688493,121.94192801392785,0.0005691357289001601,122.01134927519773
4.74001,0.015194842934221232,2.55834,0.105263,0.0006077937173688492,130.19101263444068,0.000607609085575548,130.27014191397777
4.95001,0.016103642934221233,2.74269,0.11113,0.0006441457173688493,139.57237444684998,0.0006439383445637489,139.66227939411291
5.15001,0.017094542934221232,2.90921,0.117546,0.0006837817173688493,148.0463878398654,0.0006835480451647747,148.14761925319277
5.35001,0.018173942934221234,3.07726,0.12291,0.0007269577173688493,156.5982611925932,0.0007266936115953962,156.7121015070937
5.57001,0.01928894293422123,3.26499,0.129852,0.0007715577173688493,166.15162736044564,0.0007712602197277593,166.27982293078898
5.77001,0.020451042934221234,3.45571,0.135727,0.0008180417173688494,175.8571512273439,0.000817707303607045,176.00100971334552
5.98001,0.02158724293422123,3.65383,0.142036,0.0008634897173688493,185.93925267716503,0.0008631171245941958,186.09980930990702
6.18001,0.022554742934221234,3.82367,0.14785,0.0009021897173688494,194.58221709387018,0.0009017829888383034,194.75776716931512
6.38001,0.023741942934221234,4.00403,0.153679,0.0009496777173688493,203.76053234467645,0.0009492270587830335,203.95403918192338
6.58001,0.025020342934221233,4.20422,0.160271,0.0010008137173688494,213.94797373999089,0.0010003132372175933,214.16209580691316
6.80001,0.026167242934221232,4.41475,0.166985,0.0010466897173688492,224.66160597414614,0.0010461423196237488,224.89675696700687
7.01001,0.027161442934221233,4.59345,0.172318,0.0010864577173688493,233.75544571310755,0.0010858679493163828,234.00941112107955
7.21001,0.028522642934221232,4.79893,0.178482,0.0011409057173688492,244.21208919134926,0.001140255379043647,244.49071216015827
7.42001,0.029900842934221232,4.99618,0.184845,0.0011960337173688492,254.2499173307457,0.001195319038838649,254.5540088045115
7.62001,0.030739042934221233,5.17643,0.19091,0.0012295617173688493,263.42263480667066,0.0012288064254156747,263.74652919391735
7.82001,0.031811842934221235,5.36938,0.196625,0.0012724737173688493,273.2416408370713,0.0012716648088253216,273.5893336435272
8.02001,0.032979242934221234,5.56929,0.202812,0.0013191697173688495,283.4148333508698,0.0013183003774512258,283.78870561647943
8.22001,0.03442534293422123,5.78573,0.209206,0.0013770137173688493,294.4292187627378,0.0013760665034311952,294.8346518357682
8.43001,0.035534742934221236,5.97704,0.215034,0.0014213897173688496,304.1647670585447,0.0014203804992196257,304.59710373082765
8.63001,0.03679134293422123,6.17027,0.220787,0.0014716537173688493,313.9980219704615,0.001470571896284265,314.46011832674077
8.83001,0.037955942934221235,6.38527,0.227318,0.0015182377173688494,324.9391274202472,0.0015170863596946982,325.4324622593455
9.04001,0.039183742934221236,6.58685,0.23362,0.0015673497173688494,335.197304334516,0.0015661227067365292,335.72267573472755
9.24001,0.04060874293422124,6.79922,0.239326,0.0016243497173688496,346.0045720757764,0.0016230318882506515,346.5666045046361
9.44001,0.04169944293422124,7.00128,0.24543,0.0016679777173688496,356.2871756440727,0.0016665881874581485,356.88145471403135
9.64001,0.04295474293422124,7.20196,0.251793,0.0017181897173688496,366.4995525820401,0.001716715318039959,367.1292683447068
